[0:00:00.00]-[0:00:04.92]  Y aquí estoy nativa.
[0:00:04.92]-[0:00:05.92]  ¿Y qué le va a decir?
[0:00:05.92]-[0:00:10.04]  Esta es mi familia, mis hijos, mi marido, mis abuelos, así que mira si tengo historia
[0:00:10.04]-[0:00:11.04]  en este pueblo, ¿eh?
[0:00:11.04]-[0:00:12.04]  ¿Y qué le va a decir?
[0:00:12.04]-[0:00:13.04]  ¿Usted conocía, han hecho matanzas aquí en el pueblo?
[0:00:13.04]-[0:00:14.04]  Sí, hasta este año he hecho, yo.
[0:00:14.04]-[0:00:15.04]  ¿Sí?
[0:00:15.04]-[0:00:16.04]  ¿Y cómo se hace?
[0:00:16.04]-[0:00:17.04]  ¿Cómo se hacía mejor tú?
[0:00:17.04]-[0:00:18.04]  Bueno, se sigue con la misma tradición, ¿eh?
[0:00:18.04]-[0:00:19.04]  Sí, sí.
[0:00:19.04]-[0:00:20.04]  Sacrifican cerdo, se mata, se achucarra con unos alechos que se bajan del monte, se quema,
[0:00:20.04]-[0:00:21.04]  luego se abre, luego se hace, pues eso, los chorizos, los churros, los churros, los
[0:00:21.04]-[0:00:32.48]  jamones se dejan.
[0:00:32.48]-[0:00:34.24]  Pero el cerdo ¿dónde está?
[0:00:34.24]-[0:00:37.88]  El cerdo, hay gente, hasta ahora se han criado en el pueblo y todavía hay gente que los
[0:00:37.88]-[0:00:38.88]  cría, ¿eh?
[0:00:38.88]-[0:00:44.08]  Para su sacrificio, pero nosotros los traemos de fuera, de una granja, solemos traer, y
[0:00:44.08]-[0:00:47.60]  este año mismo un chico de la guardia, que era mi hijo de mi hijo, porque mi hijo también
[0:00:47.60]-[0:00:52.04]  los mata, ¿eh?, que era el único que aquí, bueno, dos, que los mataba y entonces pues
[0:00:52.04]-[0:00:53.60]  nada, sí, los mata.
[0:00:53.60]-[0:00:55.84]  Pero antiguamente ¿dónde estaban?
[0:00:55.84]-[0:01:01.12]  En las casas, sencillamente, si había unos pequeños chamizos donde los cerdos se criaban
[0:01:01.12]-[0:01:02.96]  en la casa como las vacas y todo.
[0:01:02.96]-[0:01:03.96]  ¿Y qué comían o...?
[0:01:03.96]-[0:01:09.60]  Pues cebada, hay un molino aquí fuera del pueblo, donde era para toda la zona está
[0:01:09.60]-[0:01:14.08]  el molino, porque era el único además, es el único, creo que no debe haber en Álava
[0:01:14.08]-[0:01:17.24]  más que dos que están en su uso todavía.
[0:01:17.24]-[0:01:21.88]  Lo que pasa es que ya el ganoso va desapareciendo, entonces la molienda también, pero sí, se
[0:01:21.88]-[0:01:26.92]  molía la cebada y luego se les echaba de comer con las cosas que había de la huerta,
[0:01:26.92]-[0:01:31.60]  verdas, remolacha, patatas que sobraban, todo eso pues se alimentaba al cerdo.
[0:01:31.60]-[0:01:33.84]  ¿Y cuántos días, cuántas veces al día o...?
[0:01:33.84]-[0:01:35.84]  Una a la mañana y otra a la noche se les echaba de comer.
[0:01:35.84]-[0:01:37.84]  Los cerdos eso es lo que se les hacía.
[0:01:37.84]-[0:01:39.96]  Una a la mañana, a primera hora y otra a la noche.
[0:01:39.96]-[0:01:41.84]  ¿Y cómo se hacían las morcillas?
[0:01:41.84]-[0:01:42.84]  ¿Tú recuerdas?
[0:01:42.84]-[0:01:43.84]  He hecho muchísimas.
[0:01:43.84]-[0:01:48.44]  Se cuece de víspera o el mismo día el arroz.
[0:01:48.44]-[0:01:50.24]  ¿Aquí son de arroz?
[0:01:50.24]-[0:01:55.04]  Sí, aquí son de arroz, pero últimamente yo también ya hacía de verdura porque una
[0:01:55.04]-[0:01:57.56]  familia de Mondragón venía aquí y entonces...
[0:01:57.56]-[0:01:59.56]  ¿No me estarás cogiendo todo ese rollo?
[0:01:59.56]-[0:02:00.56]  No, no, no.
[0:02:00.56]-[0:02:01.56]  Ah, porque lo estoy diciendo como me parece.
[0:02:01.56]-[0:02:04.36]  Bueno, es verdad, lo que te estoy contando es verdad.
[0:02:04.36]-[0:02:09.96]  Y entonces allí sí como se usan la cebolla y el puerro mucho, con los mismos aderezos
[0:02:09.96]-[0:02:15.36]  parecidos a las especias que se les echa aquí, pero con puerro y cebolla.
[0:02:15.36]-[0:02:19.48]  Entonces cuando aquella familia ya empezó a llegar aquí, pues ya nos acostumbramos,
[0:02:19.48]-[0:02:23.84]  parece que nos gustaba también, a pesar de que hacía de las dos, una con puerro y cebolla
[0:02:23.84]-[0:02:25.56]  y la otra con arroz.
[0:02:25.56]-[0:02:28.56]  Pero es que no entiendo, pero las morcillas se hacen con sangre.
[0:02:28.56]-[0:02:29.56]  Hombre, claro.
[0:02:29.56]-[0:02:30.56]  Y entonces ¿cómo se...?
[0:02:30.56]-[0:02:31.56]  La sangre del cerdo hay que cogerla.
[0:02:31.56]-[0:02:32.56]  ¿Y cómo se hace?
[0:02:32.56]-[0:02:33.56]  Hombre.
[0:02:33.56]-[0:02:40.40]  Mira, yo tengo además todos mis troceños, con un gancho cogen al cerdo.
[0:02:40.40]-[0:02:43.28]  Yo creo que está hasta la banca ahí adentro.
[0:02:43.28]-[0:02:45.28]  Se echan a una banca a los cerdos.
[0:02:45.28]-[0:02:46.28]  Mira que...
[0:02:46.28]-[0:02:47.28]  Este que es muy especialista en ese reto.
[0:02:47.28]-[0:02:48.28]  Ven un poco, ven, ven.
[0:02:48.28]-[0:02:49.28]  Este que es muy especialista.
[0:02:49.28]-[0:02:50.28]  Este es uno del pueblo nacido aquí también.
[0:02:50.28]-[0:02:51.28]  Sí.
[0:02:51.28]-[0:02:52.28]  Que dice que están haciendo una encuesta...
[0:02:52.28]-[0:02:57.28]  Es que tenemos que hacer un trabajo para la universidad, entonces nos ha tocado venir
[0:02:57.28]-[0:03:01.24]  a este pueblo y que estábamos buscando a alguien que haya nacido aquí y que nos podía
[0:03:01.24]-[0:03:02.24]  comprar un poco, comer en las tradiciones.
[0:03:02.24]-[0:03:05.24]  Dice que cómo criábamos los cerdos, dónde estaban los cerdos antes.
[0:03:05.24]-[0:03:06.24]  Y en casa...
[0:03:06.24]-[0:03:10.24]  Pues mira, los cerdos por lo general estaban en lo que es la escalera.
[0:03:10.24]-[0:03:11.24]  En una bajera.
[0:03:11.24]-[0:03:12.24]  No, en el mar.
[0:03:12.24]-[0:03:13.24]  En el hueco de la escalera.
[0:03:13.24]-[0:03:14.24]  Sí.
[0:03:14.24]-[0:03:15.24]  En lo que...
[0:03:15.24]-[0:03:16.24]  Era más bajo.
[0:03:16.24]-[0:03:17.24]  ¿Sabes?
[0:03:17.24]-[0:03:18.24]  Debajo de la casa.
[0:03:18.24]-[0:03:20.24]  Siempre hay un hueco de la escalera que es más bajo.
[0:03:20.24]-[0:03:24.88]  Entonces ahí se les ponía una puerta, una pila y allí comían y allá los teníamos
[0:03:24.88]-[0:03:25.88]  todo el mundo.
[0:03:25.88]-[0:03:28.88]  Para comer, verdas que se sentaban en la huerta.
[0:03:28.88]-[0:03:29.88]  Ya le he dicho.
[0:03:29.88]-[0:03:30.88]  Y remolacha, patata.
[0:03:30.88]-[0:03:31.88]  Remolachas, patatas.
[0:03:31.88]-[0:03:32.88]  Y ahí se volía cebada.
[0:03:32.88]-[0:03:37.88]  Y se les digo que hay que un molino que es de toda esta comarca pues acudía ese molino
[0:03:37.88]-[0:03:40.88]  con sus burros a llevar el saco a moler o un carro.
[0:03:40.88]-[0:03:41.88]  A levada y a vena.
[0:03:41.88]-[0:03:42.88]  Claro, lo que había de casa.
[0:03:42.88]-[0:03:45.24]  Pero cuando mataban había que avisar al veterinario o...
[0:03:45.24]-[0:03:46.24]  Había que llevarle la carne.
[0:03:46.24]-[0:03:47.24]  Llevar la carne a analizar.
[0:03:47.24]-[0:03:53.08]  Primeramente se sacaba un papel hace años, y eso es lo que igual te interesa más.
[0:03:53.08]-[0:03:55.96]  Hace muchos años se iba por una papeleta al ayuntamiento.
[0:03:55.96]-[0:03:56.96]  Aquí en el pueblo.
[0:03:56.96]-[0:03:57.96]  Sí, en el pueblo.
[0:03:57.96]-[0:03:58.96]  Entonces daban una autorización.
[0:03:58.96]-[0:04:03.24]  Con esa papeleta tú tenías, cuando venía el veterinario o le llevabas la carne, tenías
[0:04:03.24]-[0:04:04.24]  que ponerle...
[0:04:04.24]-[0:04:07.24]  Se ponía un día, un martes, no sé qué, por ejemplo, y venía y la te cogía.
[0:04:07.24]-[0:04:08.24]  Sí, un día se instaló y venía él.
[0:04:08.24]-[0:04:13.92]  Pero si matabas sin el día que le acudía, entonces cogías esa papeleta, se la llevabas
[0:04:13.92]-[0:04:17.32]  que teníamos el veterinario en el Ciego, ya pudías salir y el veterinario...
[0:04:17.32]-[0:04:18.60]  Pero la papeleta ¿para qué era?
[0:04:18.60]-[0:04:21.52]  Pues tenía una autorización, como una autorización para matar.
[0:04:21.52]-[0:04:24.28]  En un ayuntamiento de aticogianos había los que se habían matado en el pueblo y si...
[0:04:24.28]-[0:04:26.28]  Yo no sé si pagábamos algo, de eso no me acuerdo.
[0:04:26.28]-[0:04:28.28]  Yo creo que se pagaba algo por la papeleta alza.
[0:04:28.28]-[0:04:29.28]  Yo creo que al principio...
[0:04:29.28]-[0:04:32.20]  Alguna pequeña cantidad, pues sería un beneficio para el ayuntamiento o alguna cosa.
[0:04:32.20]-[0:04:34.92]  Yo sé que había que sacar una papeleta en el ayuntamiento.
[0:04:34.92]-[0:04:38.04]  Y aquí no había eso de la enfermedad esa del cerdo, ¿cómo se llama?
[0:04:38.04]-[0:04:39.04]  No, no, no.
[0:04:39.04]-[0:04:40.04]  No había ningún caso ni nada.
[0:04:40.04]-[0:04:41.04]  No, no.
[0:04:41.04]-[0:04:42.04]  A vos no os hemos contado que teníamos pero bueno...
[0:04:42.04]-[0:04:43.04]  No, no, aquí no.
[0:04:43.04]-[0:04:44.04]  Aquí no, sí.
[0:04:44.04]-[0:04:45.04]  No, no, no.
[0:04:45.04]-[0:04:46.04]  No, no, no.
[0:04:46.04]-[0:04:47.04]  No, no, no.
[0:04:47.04]-[0:04:50.48]  Ahora, pues eso le digo que ahora ya, pues el que acude, el que mata un cerdo, pues lo
[0:04:50.48]-[0:04:53.64]  trae de las ranjas que aquí no hay más que los que los crían ellos.
[0:04:53.64]-[0:04:54.64]  Los chicos estos.
[0:04:54.64]-[0:04:55.64]  Pero antes no había nadie.
[0:04:55.64]-[0:04:56.64]  Pero antes, ahora ya nada.
[0:04:56.64]-[0:04:58.64]  Incluso se vendían.
[0:04:58.64]-[0:05:02.76]  Nosotros nos abramos uno en casa y lo que hacíamos era criarnos, uno vendía y ya.
[0:05:02.76]-[0:05:03.76]  Y otro a...
[0:05:03.76]-[0:05:04.76]  Y claro.
[0:05:04.76]-[0:05:05.76]  ¿Por qué hemos hecho morcillas yo?
[0:05:05.76]-[0:05:06.76]  Más que ninguna del pueblo.
[0:05:06.76]-[0:05:07.76]  Yo me maté hasta nueve, aunque fíjate.
