estandar	dialectal	whisper
No	No	No,
~,	~,	no,
no	no	no,
~,	~,	no.
no	no	Hay
~,	~,	una
hay	hay	alegria
uno	uno	de
~,	~,	los
en	en	otros
Alegría	Alegría	escuras
hay	hay	que
dos	dos	hacen
o	o	aquí
tres	tres	a
curas	curas	varios
que	que	pueblos,
hacen	hacen	si
aquí	aquí	ven,
a	a	o
varios	varios	sea,
pueblos	pueblos	los
~,	~,	domingos,
sirven	sirven	solen
~…	~…	de
o	o	sinmiso.
sea	sea	Y
~,	~,	a
los	los	los
domingos	domingos	unos
suelen	suelen	los
decir	decir	abados.
misa	misa	Hay
~,	~,	tres
[HS:E1	[HS:E1	pueblos,
		[Asent]			[Asent]	igual
~.	~.	20
		]			]	pueblos,
y	y	los
ahora	ahora	sentidos
en	en	que
algunos	algunos	son
los	los	mamos,
sábados	sábados	pero
~.	~.	aquí
Hay	Hay	no
tres	tres	pueblos,
curas	curas	no.
pa	pa	Allá,
igual	igual	siga
veinte	veinte	las
pueblos	pueblos	15
~,	~,	años
y	y	que
no	no	ya
sé	sé	no
ni	ni	hay,
los	los	antes
que	que	había
son	son	uno,
~,	~,	para
vamos	vamos	los
~,	~,	pueblos,
pero	pero	pero
aquí	aquí	ahora
en	en	ya
el	el
pueblo	pueblo
no	no
~.	~.
Hay	Hay
ya	ya
~…	~…
pues	pues
igual	igual
hace	hace
quince	quince
años	años
que	que
ya	ya
no	no
hay	hay
~;	~;
antes	antes
había	había
uno	uno
pa	pa
dos	dos
pueblos	pueblos
~,	~,
pero	pero
ahora	ahora
ya	ya
nada	nada
~.	~.
