estandar	dialectal	whisper
|T15|	|T15|	Hoy
Oye	Oye	he
~,	~,	peceso
pues	pues	de
eso	eso	arrasas
de	de	su
Aranzazu	Aranzazu	fíjote
~,	~,	y
fíjate	fíjate	la
~,	~,	misa
eh	eh	y
~,	~,	el
i-	i-	polo
~,	~,	para
ir	ir	es
la	la	desayuno
misa	misa	y
y	y	la
el	el	cama.
pueblo	pueblo	O
paga	paga	sea,
~…	~…	el
el	el	café
desayuno	desayuno	de
y	y	la
la	la	noche,
cama	cama	la
~,	~,	cama
o	o	y
sea	sea	el
~,	~,	desayuno
el	el	a
café	café	la
de	de	mañana.
la	la	Ya
noche	noche	te
~,	~,	quinientos
la	la	años,
cama	cama	eh.
y	y	Y
el	el	ahora
desayuno	desayuno	no
de	de	hagas
la	la	la
mañana	mañana	comida
~,	~,	todo.
de	de	La
hace	hace	comida,
quinientos	quinientos	yo
años	años	vale
~,	~,	8.000
eh	eh	pedascar
~,	~,	a
y	y	uno.
~…	~…	Aquí
~,	~,	se
y	y	sacan
ahora	ahora	tanto
no	no	allá.
~,	~,	Aquí
ahora	ahora	se
la	la	sacan
comida	comida	tanto.
~,	~,	Lo
todo	todo	que
~,	~,	he
la	la	dicho,
comida	comida	vale,
que	que	esto
vale	vale	nos
ocho_mil	ocho_mil	con
pelas	pelas	whisky
cada	cada	de
uno	uno	otra
~,	~,	vez.
¿~	¿~	Pues
pa	pa	vale
qué	qué	la
sacan	sacan	otra
tanto	tanto	madre
allá	allá	mil
~?	~?
~,	~,
¿~	¿~
pa	pa
qué	qué
sacan	sacan
tanto	tanto
~?	~?
~,	~,
claro	claro
~,	~,
lo	lo
que	que
he	he
dicho	dicho
~,	~,
vale	vale
esto	esto
nos	nos
~…	~…
¿~	¿~
Cómo	Cómo
le	le
llaman	llaman
~?	~?
Con	Con
whisky	whisky
~,	~,
[HS:E	[HS:E
		Sí			Sí
~.	~.
		]			]
de	de
to	to
~,	~,
pues	pues
vale	vale
la	la
botella	botella
más	más
de	de
mil	mil
pelas	pelas
~.	~.
