estandar	dialectal	whisper
Pero	Pero	pero
sin	sin	sin
estudios	estudios	estudio
ni	ni	ni
na	na	nada.
~.	~.	Luego
Luego	Luego	él
él	él	se
se	se	puso
puso	puso	y
y	y	por
por	por	correspondencia
correspondencia	correspondencia	estando
~,	~,	trabajando,
estando	estando	se
trabajando	trabajando	sacó,
se	se	porque
sacó	sacó	le
~…	~…	empezó
~,	~,	y
porque	porque	estuvo
él	él	hasta
empezó	empezó	el
y	y	segundo.
estuvo	estuvo	Pero
hasta	hasta	ya
el	el	del
segundo	segundo	segundo
~.	~.	ya
Pero	Pero	no
ya	ya	pasó.
del	del	Porque
segundo	segundo	ya
~,	~,	se
ya	ya	metió
no	no	ahí,
pasó	pasó	y
~.	~.	como
[HS:E1	[HS:E1	se
		[Asent]			[Asent]	metió
~.	~.	ahí,
		]			]	pues
Porque	Porque	ya
ya	ya	no
se	se	podía
metió	metió	ni
áhi	áhi	una
y	y	cosa
como	como	y
se	se	otra,
metió	metió	no
áhi	áhi	podía
pos	pos	llevar
ya	ya	las
no	no	dos
~,	~,	cosas.
no	no	Y
podía	podía	entonces
n-	n-	por
~,	~,	correspondencia
una	una	se
cosa	cosa	terminó
y	y	de
otra	otra	sacar
~,	~,	hasta
no	no	el
podía	podía	tercero.
llevar	llevar	Ya
las	las	y
dos	dos	se
cosas	cosas
y	y
entonces	entonces
por	por
correspondencia	correspondencia
se	se
terminó	terminó
de	de
sacar	sacar
hasta	hasta
el	el
tercero	tercero
[HS:E2	[HS:E2
		Ah			Ah
~.	~.
		]			]
y	y
ahí	ahí
se	se
quedó	quedó
~.	~.
