estandar	dialectal	whisper
[A-Inn]	[A-Inn]	En
Mi	Mi	mi
suegro	suegro	suena,
hablaba	hablaba	la
así	así	vacía,
aún	aún	muchas
mu-	mu-	cosas,
~,	~,	aún
muchas	muchas	peor,
cosas	cosas	y
aún	aún	lo
peor	peó	viste,
que	que	puesto
nosotros	noso	de
~.	~.	este,
Y	Y	lo
lo	lo	viste,
vide	vide	con
~,	~,	mucha
puestos	puestos	gente
de	de	lo
decir	decí	dice
lo	lo	eso,
vi	vi	lo
~.	~.	viste.
Lo	Lo	Y
vide	vide	puesto
~,	~,	de
[A-PIn:	[A-PIn:	este,
		mucha			mucha	la
ge-	ge-	comida,
		]			]	la
~,	~,	comida,
mucha	mucha	voy
gente	gente	a
lo	lo	hacer
dice	dice	la
eso	eso	comida.
~,	~,	Lo
lo	lo	viste,
vide	vide	con
~.	~.	esa
Y	Y	mujer,
puestos	puestos	a
decir	decí	veces,
la	la	que
comida	comida	es
~,	~,	más
la	la	antigua
~,	~,	de
la	la	nosotros.
		En
Anonimizado	Anonimizado	la
		comida,
aún	aún	es
~:	~:	decir,
«~	«~	con
La	La	mucha
~,	~,	peterior.
la	la	La
comida	comía	comida
~,	~,	es
voy	voy	lo
a	a	que
hacer	hacé	estás
la	la	comiendo,
comida	comía	ya...
~»	~»	es்…....
~.	~.
La	La
	
Anonimizado	Anonimizado
	
aún	aún
lo	lo
dice	dice
~.	~.
[A-Inn]	[A-Inn]
esa	esa
mujer	mujer
~,	~,
a	a
ver	vé
~,	~,
que	que
es	es
más	más
antigua	antigua
que	que
nosotras	nosotras
~.	~.
Es	Es
la	la
comida	comida
~.	~.
[A-Inn]	[A-Inn]
como	como
muchas	muchas
veces	veces
digo	digo
~:	~:
«~	«~
La	La
comida	comía
es	es
lo	lo
que	que
t'has	t'has
comido	comío
ya	ya
~,	~,
	
Anonimizado	Anonimizado
	
~»	~»
~.	~.
[RISAS]	[RISAS]
Sí	Sí
~,	~,
y	y
~,	~,
y	y
habla	habla
así	así
de	de
verdad	verdá
~.	~.
Esa	Esa
mujer	mujer
~,	~,
sí	sí
~.	~.
Poque	Poque
no	no
ha	ha
venido	venío
~,	~,
si	si
no	no
habla	habla
~…	~…
[RISAS]	[RISAS]
[Rndo:	[Rndo:
		Ay			Ay
~,	~,
lo	lo
que	que
se	se
van	van
a	a
reir	reí
con	con
nosotras	nosotras
~.	~.
		]			]
