estandar	dialectal	whisper
Está	Está	Y
~.	~.	luego
Y	Y	ahí
luego	luego	en
el	el	la今天的
ayuntamiento	ayuntamiento	Superior
está	está	Zorro
enfrente	enfrente	piggy
del	del	Lastego,
chorro	chorro	la
~,	~,	Vía,
de	de	Tские
los	los	CAN
chorros	chorros	King,
d'agua	d'agua	y
que	que	Shao
están	están	Avoymichengar.
haciendo	haciendo	Aquí
así	así	le
de	de	te
[A-Inn]	[A-Inn]	voy
y	y	donde
esa	esa	och
agua	agua	cheer
es	es	Abdah.
buenísima	buenísima	He
~.	~.	estado
Aquí	Aquí	거예요
en	en	siempreKn
este	este
pueblo	pueblo
hay	hay
mucha	mucha
agua	agua
~.	~.
Es	Es
verdad	verdá
~.	~.
