estandar	dialectal	whisper
Tú	Tú	tú
~,	~,	fíjate,
fíjate	fíjate	eso
~,	~,	lo
		]			]	estuí
eso	eso	actual
lo	lo	porque
estudias	estudias	cuando
tú	tú	más
en	en	hablanba
l-	l-	la
~…	~…	caja,
Porque	Porque	ya
cuanto	cuanto	soy
más	más	yo
hablas	hablas	coloqueablo
~,	~,	vos
más	más	lo
la	la	prendo,
cagas	cagas	voy
~.	~.	lo
[RISAS]	[RISAS]	voy
[A-PIn:	[A-PIn:	grabando
		Fíjate			Fíjate	pero
		]			]	es
yo	yo	verdad,
~,	~,	solo
con	con	hice
lo	lo	Juan
que	que	Mimónta
hablo	hablo	a
~.	~.	refegar
[A-Inn]	[A-Inn]	yo,
por	por	te
donde	onde	lo
voy	voy	voy
la	la	a
voy	voy	repetir
cagando	cagando	para
~,	~,	que
pero	pero	lo
es	es	sepa,
verdá	verdá	para
~.	~.	que
Eso	Eso	lo
le	le	apunte,
dicía	dicía	le
Juan_Belmonte	Juan_Belmonte	decía,
a	a	oye,
Rafael_el_Gallo	Rafael_el_Gallo	refe
~,	~,	él,
te	te	aquí
lo	lo	bien
voy	vi	se
a	a	está
repetir	repetir	hablando
para	pa	poquito,
que	que	él
lo	lo	dice
sepas	sepas	el
~,	~,	gallo,
para	pa	se
que	que	está
lo	lo	mejor
apuntes	apuntes	no
~.	~.	hablando
Le	Le	nada,
decía	decía	no
~:	~:	lo
«~	«~	estuí
Oye	Oye	actual
~,	~,	la
Rafael	Rafael	cabeza,
~,	~,	a
qué	qué	ver
bien	bien	si
se	se	no
está	está	son
hablando	hablando	palabras,
poquito	poquito	lo
~»	~»	que
~.	~.	digan
Y	Y	la
le	le	caja,
dice	dice	lo
e-	e-	que
~,	~,	digan
el	el	hasta
Gallo	Gallo	la
~:	~:	caja,
«~	«~
Se	Se
está	está
mejor	mejor
no	no
hablando	hablando
nada	nada
~»	~»
~.	~.
Eso	Eso
lo	lo
estudias	estudias
tú	tú
en	en
la	la
cabecera	cabecera
~,	~,
a	a
ver	ver
si	si
no	no
son	son
palabras	palabras
sabias	sabias
~.	~.
Lo	Lo
que	que
digas	digas
~,	~,
la	la
cagas	cagas
~.	~.
[RISAS]	[RISAS]
Lo	Lo
que	que
digas	digas
~.	~.
¿~	¿~
A	A
que	que
la	la
cagas	cagas
~?	~?
