estandar	dialectal	whisper
El	El	en
invernadero	invernadero	el
no	no	Bernadero
existía	existía	no
~,	~,	es
hoy	hoy	este,
hay	hay	hoy
muchísimos	muchísimos	hay
~,	~,	muchísimo
muchísimos	muchísimos	en
invernaderos	invernaderos	Bernadero.
~,	~,	Por
por	por	aquí
aquí	aquí	vemos
ves	ves	un
muy	muy	poco
pocos	pocos	pero
~,	~,	ya
pero	pero	te
ya	ya	pasa
te	te	ayer
pasas	pasas	tampoco
ahí	ahí	hasta
al	al	que
campo	campo	nada.
Cartagena	Cartagena	Bueno
~,	~,	y
y	y	todo
bueno	bueno	lo
~,	~,	que
to	to	es
lo	lo	eso
que	que	en
hay	hay	el
ahí	ahí	Bernadero.
son	son	Y
invernaderos	invernaderos	el
~.	~.	en
Y	Y	Bernadero
el	el	por
invernadero	invernadero	lo
pues	pues	que
lo	lo	los
~,	~,	curtimos
lo	lo	a
cultiva	cultiva	lo
lo	lo	mismo
mismo	mismo	que
que	que	fuera
fuera	fuera	del
del	del	en
invernadero	invernadero	Bernadero.
~,	~,	Timiento
pimientos	pimientos	patata,
~…	~…	bajoca,
~,	~,	en
patatas	patatas	fin,
~,	~,	etcétera,
eh	eh	etcétera.
~…	~…	Todo
bajocas	bajocas	Instituto
~,	~,	oriental,
en	en	aventura
fin	fin	clase
~,	~,	Beat
~etcétera	~etcétera
~,	~,
~etcétera	~etcétera
~…	~…
to	to
~,	~,
de	de
todas	todas
clase	clase
de	de
hortalizas	hortalizas
~.	~.
