estandar	dialectal	whisper
Estabas	Estabas	entonces...?
~,	~,	atheía<|nl|><|translate|>
estabas	estabas	una
en	en	manoeil
el	el	Fear
campo	campo	unro
y	y	ese,
~…	~…	de
~,	~,	nunca
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
y	y
cantabas	cantabas
cogiendo	cogiendo
el	el
~…	~…
o	o
segando	segando
o	o
cualquier	cualquier
cosa	cosa
de	de
esas	esas
~.	~.
Na	Na
más	más
que	que
pa	pa
correr	correr
el	el
tiempo	tiempo
~.	~.
[HS:E2	[HS:E2
		[Asent]			[Asent]
~.	~.
		]			]
Pero	Pero
no	no
hemos	hemos
sío	sío
digo	digo
yo	yo
por	por
lo	lo
menos	menos
no	no
he	he
cantao	cantao
~.	~.
