estandar	dialectal	whisper
Yo	Yo	¿Cómo
qué	qué	hay
sé	sé	que
~.	~.	darnos
Como	Como	chillillas?
no	no	No
hay	hay	me
que	que	gusta
dar	dar	la
unos	unos	copra.
chillidos	chillíos	Y
~,	~,	el
no	no	flamenco
~.	~.	reglas.
[RISAS]	[RISAS]	Justa
No	No	nada.
me	me	Pero
gusta	gusta	lílico,
el	el	no.
acoplo	acoplo	Era
y	y	la
el	el	mancerraca
flamenco	flamenco	barriñeta
~,	~,	y
regular	regular	todo
~.	~.	eso.
Me	Me
gusta	gusta
más	más
~.	~.
Pero	Pero
el	el
lírico	lírico
no	no
~,	~,
que	que
era	era
la	la
Monserrat_Caballé	Monserrat_Caballé
y	y
todas	to
esas	esas
~.	~.
[HS:E	[HS:E
		Ah			Ah
~.	~.
		]			]
No	No
me	me
gusta	gusta
~.	~.
[HS:E1	[HS:E1
		Ah			Ah
~.	~.
		]			]
No	No
~.	~.
