estandar	dialectal	whisper
A	A	Yo
mí	mí	llaméchaotional...
sí	sí	Pues
~.	~.	ya
Aquello	Aquello	ven,
sí	sí	no
me	me	hacíamos
gustó	gustó	nada,
~.	~.	más
Pues	Pues	que
ya	ya	llevábamos
ves	ves	a
no	no	tositos,
hacíamos	hacíamos	estaba
na	na	la
~,	~,	autocarza
na	na	y
más	más	la
que	que	tosla,
~…	~…	a
llevarnos	llevarnos	ver
a	a	cosas
tos	tos	y
sitios	sitios	por
~.	~.	la
Estaba	Estaba	noche
el	el	va
autocar	autocar	a
pa	pa	ir.
ir	ir	Tiene
a	a	blandas
tos	tos	y
laos	laos	cuadrigas
~,	~,	quiero
a	a
ver	ver
cosas	cosas
~.	~.
Y	Y
por	por
la	la
noche	noche
baile	baile
~.	~.
Tengo	Tengo
muy	muy
a	a
gustico	gustico
allí	allí
los	los
quince	quince
días	días
~.	~.
