estandar	dialectal	whisper
No	No	No,
~,	~,	no,
no	no	nada.
~.	~.	Sí.
Nada	Nada	Los
~,	~,	caballos
nada	nada	utilizaron
~.	~.	los
Los	Los	para
caballos	caballos	acá,
utilizábanlos	utilizábanlos	para
pa	pa	la
car-	car-	carga,
~,	~,	por
pa	pa	ejemplo,
la	la	tenemos
carga	carga	que
~,	~,	dir
por	por	a
ejemplo	ejemplo	Villorium,
~,	~,	para
tenemos	tenemos	el
que	que	carbón
ir	dir	a
a	a	ese
Villoria	Villoria	poco
a	a	que
buscar	buscar	se
el	el	derró
carbón	carbón	y
a	a	subinó
ese	ese	un
pozo	pozo	caballos,
que	que	pero
se	se	de
cerró	cerró	manera
y	y	para
subirlo	subilo	la
en	en
caballos	caballos
~.	~.
Pero	Pero
~,	~,
de	de
otra	otra
manera	manera
~,	~,
pa	pa
~…	~…
~,	~,
pa	pa
la	la
gente	gente
~,	~,
no	no
~.	~.
