estandar	dialectal	whisper
En	En	en
la	la	la
tierra	tierra	tierra
~,	~,	con
con	con	los
las	las	vacas
vacas	vacas	y
y	y	el
con	con	dejó
todo	todo	con
~.	~.	todo.
Pero	Pero	Pero
luego	luego	luego
yo	yo	yo
me	me	me
coloqué	coloqué	coloqué
~,	~,	cuando
cuando	cuando	tenía
tenía	tenía	16
dieciséis	dieciséis	años,
años	años	me
~,	~,	coloqué
me	me	en
coloqué	coloqué	una
en	en	casa
una	una	de
casa	casa	unos
de	de	señores
unos	unos	que
señores	señores	son
que	que	de
son	son	aquí,
d'aquí	d'aquí	que
~,	~,	ahora
que	que	nada
ahora	ahora	más
na	na	vive
más	más	la
vive	vive	hija,
la	la	murieron
hija	hija	todos,
~,	~,	y
murieron	murieron	ella
todos	todos	vive
y	y	en
~,	~,	León,
y	y	y
ella	ella	tienes
vive	vive	la
en	en	casa
León	León	donde
~.	~.	vivíamos
Y	Y	en
tiene	tiene	Obiedo
la	la	por
casa	casa	el
donde	donde	Brano,
eso	eso	estábamos
~,	~,	aquí
vivíamos	vivíamos	y
en	en	por
Oviedo	Oviedo	invierno
~.	~.	y
Por	Por	vamos
el	el	por
verano	verano	obiedo.
estábamos	tábamos	Tuve,
aquí	aquí	pues
y	y	desde
por	por	16
invierno	invierno	años
~,	~,	hasta
íbamos	íbamos	22
pa	pa	años
Oviedo	Oviedo	que
~.	~.	fue
Estuve	Tuve	cuando
~…	~…	me
pues	pues	casé,
desde	desde	que
~…	~…	me
dieciséis	dieciséis	quedé
años	años	para
hasta	hasta	casarme
~…	~…	en
veintidós	veintidós	el
años	años
que	que
fue	fue
cuando	cuando
me	me
casé	casé
~.	~.
Que	Que
me	me
quedé	quedé
pa	pa
casarme	casame
~.	~.
De	De
veintidós	veintidós
~.	~.
