estandar	dialectal	whisper
Porque	Porque	¿Y
sirvieron	sirvieron	cómo
cuatro	cuatro	fue?
hermanos	hermanos	Porque
y	y	servieron
presentando	presentando	a
la	la	tus
cartilla	cartilla	hermanos.
de	de	Y
tres	tres	presentando
hermanos	hermanos	la
yo	yo	cartilla
podía	podía	de
elegir	elegir	tres
sitio	sitio	hermanos
~,	~,	yo
[HS:E1	[HS:E1	podía
		¿~			¿~	elegir,
Sí	Sí	sí
~?	~?	el
		]			]	tío.
y	y	Y
entonces	entonces	entonces
yo	yo	me
pues	pues	pusieron
elegí	elegí	elegir
pa	pa	para
~,	~,	obrir
pa	pa	para
Oviedo	Oviedo	más,
~,	~,	para
pa	pa	más
más	más	cerca,
~,	~,	para
pa	pa	quedar
más	más	a
cerca	cerca	la
~…	~…	casa.
me	me	Y
quedara	quedara	no
de	de	había.
casa	casa	Otro
~.	~.	que
Y	Y	tan
no	no	un
~,	~,	a
no	no	milí,
~,	~,	porque
bien	bien	la
~,	~,	milí,
otra	otra	claro,
quitaron	quitaron	no
la	la	era
mili	mili	que
~,	~,	aprendiera
[R-Grb]	[R-Grb]	junto,
porque	porque	pero
en	en	algo
la	la	aprendí.
mili	mili	Por
~,	~,	menos
claro	claro	aprendías
~,	~,	a
no	no	comer.
era	era	Porque
que	que	ahora
aprendieras	aprendieras	no
mucho	mucho	se
pero	pero	sabe
algo	algo	cómo
aprendías	aprendías	ir
~,	~,	a
por	por	culpa,
lo	lo	las
menos	menos	tenemos
aprendías	aprendías	los
a	a	pándezos
comer	comer	y
~,	~,	los
por	por	juegos.
lo	lo	Sí.
menos	menos	Porque,
aprendías	aprendías	el
a	a	niño
comer	comer	no
~,	~,	quiere,
porque	porque	es
ahora	ahora	tu
no	no	mina
se	se	que
sabe	sabe	le
comer	comer	salió
~,	~,	el
la	la	otro,
culpa	culpa	que
la	la	es
tenemos	tenemos	bueno,
los	los	y
padres	padres	la
y	y	verdad
los	los	es
abuelos	buelos	que
[HS:E1	[HS:E1	se
		¿~			¿~	maneja
Sí	Sí	honor.
~?	~?	Y
		]			]	primero,
Porque	Porque	será
si	si	un
~…	~…	garito
el	el	de
niño	niño	pan,
non	non	porque
quiere	quiere	llegirá
eso	eso	a
~,	~,	los
mira	mira	pámense,
a	a	se
ver	ver	llaman
si	si	menos
quiere	quiere	dejas.
lo	lo	Y
otro	otro	ahora
que	que	no,
es	es	que
~…	~…	se
~|	~|	nota
bueno	bueno	que
~,	~,	ya
y	y	que
la	la	se
abundancia	abundancia	me
que	que	piano.
se	se	Y
maneja	maneja	en
[A-Inn]	[A-Inn]	la
que	que	milí
primero	primero	se
~…	~…	aprendía.
~,	~,	Bueno,
si	si	había
era	era	los
un	un	que
[A-PIn:	[A-PIn:	viníamos
		granito			granito	más
de	de	torpes,
pan	pan	todavía,
~,	~,	pero
por	por	hoy
decir	decir	por
algo	algo	menos
~,	~,	aprendías
pues	pues	a
lo	lo	comer
comes	comes	y
y	y	a
no	no	respetar
~,	~,	algo.
mira	mira	Acoperas
~,	~,	por
lo	lo	cienzon
dejas	dejas	con
~,	~,	sald
y	y	reconsiderador,
ahora	ahora	se
no	no	los
~,	~,	tiene,
que	que	eso
si	si	lo
Nocilla	Nocilla	que
~,	~,
que	que
si	si
~…	~…
cincuenta_mil	cincuenta_mil
pijarrotas	pijarrotas
~.	~.
[HS:E1	[HS:E1
		[RISA]			[RISA]
		]			]
Y	Y
en	en
la	la
mili	mili
sí	sí
se	se
aprendía	aprendía
~,	~,
bueno	bueno
~,	~,
había	había
los	los
que	que
veníamos	veníamos
más	más
torpes	torpes
todavía	todavía
de	de
lo	lo
que	que
[A-PIn:	[A-PIn:
		veíamos			veíamos
		]			]
~,	~,
pero	pero
vaya	vaya
por	por
lo	lo
menos	menos
aprendías	aprendías
a	a
~…	~…
~,	~,
a	a
comer	comer
y	y
a	a
respetar	respetar
algo	algo
~.	~.
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
Aquí	Aquí
de	de
dos	dos
hijos	hijos
~,	~,
fue	fue
uno	uno
~.	~.
Bueno	Bueno
~,	~,
el	el
primero	primero
no	no
fue	fue
porque	porque
~|	~|
libró	libró
porque	porque
tenía	tenía
los	los
pies	pies
planos	planos
~,	~,
y	y
el	el
~,	~,
el	el
último	último
~,	~,
sí	sí
~,	~,
ese	ese
fue	fue
~|	~|
también	también
ese	ese
hizo	hizo
[A-Inn]	[A-Inn]
~.	~.
