estandar	dialectal	whisper
¿~	¿~	¿Qué
Qué	Qué	me
me	me	ha
ha	ha	dicho
dicho	dicho	usted
usted	usted	que
que	que	hacían
~,	~,	con
que	que	la
hacían	hacían	sangre?
con	con	Es
la	la	que
sangre	sangre	se
~?	~?	lo
Es	Es	preguntaba
que	que	como
~…	~…	está...
[HS:I2	[HS:I2	Ah,
		Pa			Pa	vos
las	las	hella.
mor-	mor-	Se
~…	~…	que
		]			]	estaba
porque	porque	la
se	se	sangre
lo	lo	en
he	he
preguntado	preguntado
~,	~,
como	como
estaba	estaba
con	con
~…	~…
[HS:I2	[HS:I2
		Pa			Pa
las	las
morcillas	morcillas
~.	~.
		]			]
[Asent]	[Asent]
~.	~.
¿~	¿~
Pero	Pero
~…	~…
~?	~?
[HS:I2	[HS:I2
		Pa			Pa
las	las
mor-	mor-
~.	~.
		]			]
¿~	¿~
Se	Se
echaba	echaba
la	la
sangre	sangre
en	en
un	un
~…	~…
barreño	barreño
~?	~?
