estandar	dialectal	whisper
para	para	para
cuando	cuando	cuando
tú	tú	tú
te	te	te
levantes	levantes	levantes
~,	~,	y
y	y	esto
este	este	todo
~,	~,	se
y	y	habla
este	este	bien
~,	~,	que
y	y	ya
todos	todos	esté
~,	~,	calentito
salga	salga	para
~,	~,	ti
que	que	si
ya	ya	yo
esté	esté	a
calentito	calentito	la
el	el	4a
pan	pan	mañana
~,	~,	es
recientito	recientito	como
pa	pa	un
ti	ti	pionero
~.	~.	y
[HS:I2	[HS:I2	me
		[A-Inn]			[A-Inn]	vasos
~.	~.	así
		]			]	y
Y	Y	salió
yo	yo	de
a	a	casa
las	las	a
cuatro	cuatro	uno
la	la	de
mañana	mañana	vasos
~,	~,	de
pues	pues	lo
~,	~,	que
como	como	te
un	un	lata
pionero	pionero	a
~,	~,	una
ahí	ahí	cerca
~.	~.	¿sabes?
Y	Y	realmente,
nevazos	nevazos	no
así	así	tengo
~,	~,	que
y	y	ver
salir	salir	el
de	de	video
casa	casa	de
con	con	antes
unos	unos	de
nevazos	nevazos	hacerla
~,	~,	que
a	a	lah
[A-Inn]	[A-Inn]	Microsoft
la	la
tahona	tahona
cerca	cerca
~,	~,
¿~	¿~
sabes	sabes
~?	~?
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
O	O
sea	sea
que	que
~…	~…
La	La
vida	vida
de	de
antes	antes
casi	casi
mejor	mejor
no	no
contarla	contala
~,	~,
porque	porque
~…	~…
