estandar	dialectal	whisper
La	La	La
costilla	costilla	costilla,
~,	~,	la
la	la	que
que	que	no
no	no	he
era	era	adoptado,
adobada	adobada	la
~,	~,	he
adobada	adobada	hecho,
es	es	la
~,	~,	he
[HS:I1	[HS:I1	hecho,
		Sí			Sí	la
~.	~.	he
		]			]	hecho.
adobada	adobada	Pimentón,
es	es	igual
~…	~…	se
pimentón	pimentón	ha
~,	~,	ido
sal	sal	a
y	y	rezar.
orégano	orégano	Y
~.	~.	igual
[HS:I2	[HS:I2	que
		Igual			Igual	lo
que	que	de
~…	~…	los
igual	igual	choritos,
que	que	eso
los	los	es
chorizos	chorizos	lojo.
~.	~.	Si
		]			]	tira
Igual	Igual	o
que	que	va
lo	lo	a
de	de	continuar,
los	los	cuando
chorizos	chorizos	comprendí
~.	~.	hace
Eso	Eso	unos
en	en	días,
mojao	mojao	que
~.	~.	estaba
[HS:E1	[HS:E1	ya
		Sí			Sí	salada
~.	~.	una
		]			]
Y	Y
luego	luego
a	a
continuación	continuación
~,	~,
cuando	cuando
comprendías	comprendías
unos	unos
días	días
que	que
estaba	estaba
ya	ya
salado	salao
la	la
cosa	cosa
~…	~…
