estandar	dialectal	whisper
echando	echando	rechando
en	en	las
las	las	codillas
judías	judías	cerrados,
el	el	se
rabo	rabo	sigue
~.	~.	echando
[HS:I1	[HS:I1	en
		Y			Y	las
con	con	codillas
las	las	también
orejas	orejas	la
~,	~,	beja,
también	también	la
~,	~,
del	del
cerdo	cerdo
~.	~.
		]			]
y	y
la	la
~…	~…
[HS:E1	[HS:E1
		Hablen			Hablen
~,	~,
hablen	hablen
una	una
sola	sola
~.	~.
		]			]
Se	Se
sigue	sigue
echando	echando
en	en
las	las
judías	judías
también	también
la	la
oreja	oreja
~,	~,
las	las
ore-	ore-
~,	~,
[HS:E1	[HS:E1
		¿~			¿~
Cómo	Cómo
la	la
preparan	preparan
para	para
las	las
		]			]
