estandar	dialectal	whisper
No	No	No,
~,	~,	no,
no	no	nada,
~,	~,	redescillas
[V-Sml]	[V-Sml]	que
unas	unas	llamaban.
redecillas	redecillas	Y
que	que	luego
llamaban	llamaban	en
~.	~.	el
[HS:I2	[HS:I2	fincho
		Sí			Sí	es
~,	~,	él
[A-Inn]	[A-Inn]	le
cinchos	cinchos	metían
~.	~.	y
		]			]	le
Y	Y	apretaban,
luego	luego	apretando,
en	en	apretando
el	el	para
cincho	cincho	que
ese	ese	salía
~,	~,	el
le	le	suero.
metían	metían	Y
y	y	luego
iban	iban	ya
apretando	apretando	le
~,	~,	prensaba.
apretando	apretando	Ponía
~,	~,	una
apretando	apretando	prensa
para	para	con
que	que	peso.
saliera	saliera	Ya,
el	el	todo
suero	suero	eso.
~,	~,	No,
[HS:E2	[HS:E2	yo
		[Asent]			[Asent]	no
~.	~.	te
		]			]	puedo
y	y	decir
luego	luego	más
ya	ya	porque
le	le	yo
prensaban	prensaban	ya
~,	~,	no
le	le	me
ponían	ponían	acuerdo,
una	una	yo
prensa	prensa	era
con	con	pequeña
peso	peso	ya,
~,	~,	sí
y	y	la
ya	ya
~…	~…
Yo	Yo
ya	ya
de	de
eso	eso
~,	~,
de	de
eso	eso
yo	yo
ya	ya
no	no
te	te
puedo	puedo
decir	decir
más	más
porque	porque
ya	ya
no	no
me	me
acuerdo	acuerdo
~,	~,
yo	yo
era	era
pequeña	pequeña
~,	~,
y	y
ya	ya
~,	~,
fíjate	fíjate
~.	~.
