estandar	dialectal	whisper
No	No	No
~,	~,	había
había	había	más.
más	más	¿Todo?
~.	~.	¿Todo?
[HS:I2	[HS:I2	¿Todo?
		Había			Había	Ahí
bastantes	bastantes	el
panaderías	panaderías	pan
~,	~,	no
que	que	puede
eso	eso	explicar
no	no	ahí
~…	~…	arriba,
		]			]	que
Dos	Dos	hay
o	o	una
tres	tres	panadería.
~.	~.	Ahí
Ahí	Ahí	es...
el	el	¿Puedes
pan	pan	explicar?
~,	~,	Es
te	te	para
lo	lo
pueden	pueden
explicar	explicar
áhi	áhi
arriba	arriba
~,	~,
que	que
hay	hay
una	una
panadería	panadería
~,	~,
[HS:E2	[HS:E2
		[Asent]			[Asent]
~.	~.
		]			]
ahí	ahí
~…	~…
ese	ese
~,	~,
	
Anonimizado	Anonimizado
	
[HS:I2	[HS:I2
		Claro			Claro
~.	~.
		]			]
se	se
lo	lo
puede	puede
explicar	explicar
~,	~,
que	que
es	es
panadero	panadero
~.	~.
[HS:I2	[HS:I2
		Eso			Eso
~,	~,
pues	pues
antiguamente	antiguamente
se	se
llevaba	llevaba
		]			]
