estandar	dialectal	whisper
Y	Y	y
los	los	los
chicharrones	chicharrones	chicharon,
pues	pues	pues
era	era	era
toda	toda	toda
la	la	la
grasa	grasa	verdad
que	que	que
tenía	tenía	tenía
el	el	a
cerdo	cerdo	ser
~.	~.	lo
[HS:E1	[HS:E1	que
		[Asent]			[Asent]	más
~.	~.	era
		]			]	ser
Lo	Lo	tenia
que	que	era
más	más	la
grasa	grasa	verdad
tenía	tenía	esa
era	era	que
la	la	estaba
~,	~,	a
la	la	ser
grasa	grasa	del
esa	esa	ambiente
que	que	y
tapa	tapa	todos
al	al	las
cerdo	cerdo	tribas
el	el	y
vientre	vientre	eso,
y	y	que
todo	todo	nosotros
las	las	era
tripas	tripas	la
y	y	nombre
eso	eso	la
~,	~,	mateta,
[HS:E1	[HS:E1	que
		[Asent]			[Asent]	era
~.	~.	nuestra
		]			]	fea
y	y	la
nosotros	nosotros	mateta.
lo	lo	Gracias
llamamos	llamamos	a
la	la	que
manteca	manteca	no
~,	~,	estaba
[HS:E1	[HS:E1	muy
		[Asent]			[Asent]	verde,
~.	~.	estaba
		]			]	bien
hacíamos	hacíamos	cebado,
trozos	trozos	pues
de	de	tenía
manteca	manteca	un
grandes	grandes	buro
~,	~,	eso
y	y	más
si	si	que
el	el	en
cerdo	cerdo	mi
estaba	estaba	mano
muy	muy	de
gordo	gordo	yo
~,	~,	lo
estaba	estaba	que
bien	bien	yo
cebado	cebao	tenía,
~,	~,	estaba
pues	pues	bordo
tenía	tenía	y
un	un	lo
~,	~,	cortaba,
un	un	lo
grueso	grueso	echaba
más	más	a
que	que	una
mi	mi	cadera
mano	mano	que
de	de	llamaba
~…	~…	a
ya	ya	unos
lo	lo	rutos
creo	creo	de
que	que	cobre,
tenían	tenían	la
~,	~,	ponía
estando	estando	al
gordo	gordo	fuego
~,	~,	y
gordo	gordo	lleva
~.	~.	soltando
[HS:E1	[HS:E1	la
		[Asent]			[Asent]	grasa,
~.	~.	la
		]			]	mateta
Y	Y	de
lo	lo	la
cortabas	cortabas	mano
~,	~,	se
lo	lo	quedaba
hac-	hac-	lo
~…	~…	que
~,	~,	se
lo	lo	llamaba,
echabas	echabas	el
a	a	chicharon,
~…	~…	que
~,	~,	eso
a	a	no
una	una	sigue
caldera	caldera	haciendo,
que	que	por
llamábamos	llamábamos	cierto
nosotros	nosotros	no
~,	~,	creo
de	de	que
cobre	cobre	lo
~,	~,	del
[HS:E1	[HS:E1	del
		[Asent]			[Asent]	del
~.	~.	car,
		]			]	ahora
la	la	el
ponías	ponías	chicharon,
al	al	eso
fuego	fuego	era
y	y	el
iba	iba
soltando	soltando
la	la
~,	~,
la	la
grasa	grasa
~,	~,
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
la	la
manteca	manteca
que	que
llamamos	llamamos
~,	~,
y	y
quedaba	quedaba
lo	lo
que	que
se	se
llama	llama
el	el
chicharrón	chicharrón
~,	~,
que	que
eso	eso
lo	lo
siguen	siguen
haciendo	haciendo
~,	~,
porque	porque
~,	~,
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
por	por
cierto	cierto
~,	~,
creo	creo
que	que
lo	lo
venden	venden
bien	bien
caro	caro
~,	~,
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
ahora	ahora
~,	~,
el	el
chicharrón	chicharrón
~.	~.
Y	Y
eso	eso
era	era
el	el
chicharrón	chicharrón
~,	~,
claro	claro
~.	~.
