estandar	dialectal	whisper
Es	Es	Si
que	que	no
si	si	lo
no	no	agradamos
~,	~,	y
si	si	no
no	no	lo
lo	lo	pasamos,
grabamos	grabamos	no
~,	~,	estáis
no	no	muy
~|	~|	difícil.
y	y	Luego
no	no	tiene
tomamos	tomamos	buena
nota	nota	memoria
es	es	a
muy	muy	preguntar.
difícil	difícil	No,
luego	luego	bueno,
~…	~…	pero
[HS:IE	[HS:IE	a
		Pues			Pues	mí
la	la	no
		lo
Anonimizado	Anonimizado	entiendo.
	
que	que
tiene	tiene
buena	buena
memoria	memoria
~,	~,
preguntarla	preguntarla
~.	~.
		]			]
saber	saber
de	de
to-	to-
~…	~…
Sí	Sí
~.	~.
[HS:I1	[HS:I1
		Sí			Sí
~,	~,
no	no
~,	~,
bueno	bueno
~,	~,
[V-Sml]	[V-Sml]
a	a
mí	mí
la	la
memoria	memoria
no	no
~,	~,
lo	lo
que	que
pasa	pasa
es	es
que	que
~…	~…
		]			]
