estandar	dialectal	whisper
Panes	Panes	que
~,	~,	se
que	que	cogían
se	se	los
cogían	cogían	hombres
los	los	que
hombres	hombres	se
que	que	iban
se	se	con
iban	iban	las
con	con	vacas,
las	las	se
vacas	vacas	cogían
~,	~,	medio,
se	se	panse
cogían	cogían	lo
medio	medio	llenaban
pan	pan	de
~,	~,	torres
se	se	nilos
lo	lo	y
llenaban	llenaban	a
de	de	comerlo
torreznillos	torreznillos	y
~,	~,	está
y	y	dando
a	a	bueno
comerlo	comerlo	que
al	al	no
campo	campo	veas,
~,	~,	fíjate
[HS:E2	[HS:E2	si
		[Asent]			[Asent]	te
~.	~.	estoy
		]			]	diciendo
y	y	cosas
estaba	estaba
de	de
bueno	bueno
que	que
~…	~…
que	que
no	no
veas	veas
~.	~.
Fíjate	Fíjate
si	si
te	te
estoy	estoy
diciendo	diciendo
cosas	cosas
~,	~,
¿~	¿~
eh	eh
~?	~?
