estandar	dialectal	whisper
Entonces	Entonces	¿Pero
~,	~,	usted
te	te	se
caía	caía	cayó
mu	mu	un
bien	bien	día
un	un	un
chico	chico	chico,
~,	~,	pero
pero	pero	como
como	como	usted
te-	te-	tenía
~,	~,	tanta
tenías	tenías	tírate,
tanta	tanta	pues
tirantez	tirantez	ya
~,	~,	tampoco
pues	pues	se
ella	ella	atrevía
tampoco	tampoco	nada,
se	se	nada
atrevía	atrevía	de
a	a	nada.
nada	nada	Tenías
~,	~,	que
a	a	llevar
nada	nada	a
de	de	Mese,
nada	nada	porque
~,	~,	yo
tenías	tenías	me
que	que	tienes
llevar	llevá	que
más	más	ir
ese	ese	a
~,	~,	Mese
porque	porque	para
yo	yo	un
me	me	beso
tiré	tiré	y
tres	tres	esto
meses	meses	porque
pa	pa	iba
dar	dar	a
un	un	ir
beso	beso	a
~,	~,	Cácer,
y	y	digo,
eso	eso	ni
porque	porque	de
iba	iba	espadría
a	a	de
ir	ir	este
a	a	asmada
Cáceres	Cáceres	de
y	y	una
digo	digo	más
~:	~:	grande
«~	«~	llegada.
¿~	¿~	¿Qué
Ni	Ni	soy
despedida	despedida	él?
de	de	¿Qué
irte	irte	iba
a	a	a
[A-Inn]	[A-Inn]	ir
darme	darme	a
un	un	Címpese?
beso	beso	Yo
siquiera	siquiera	siempre
~?	~?	con
~»	~»	las
~.	~.	cositas
[HS:I1	[HS:I1	de
		Eso			Eso	esta
ahí	ahí	de
en	en	que
la	la	tenemos
esquina	esquina	los
~.	~.	hombres
		]			]	no
Y	Y	de
venía	venía	de
siempre	siempre	de
con	con	de
~…	~…	de
la	la	de
cosita	cosita	de
esta	esta	de
de	de	de
que	que	de
tenemos	tenemos	de
los	los	de
hombres	hombres	si
de	de	podíamos
~,	~,
de	de
a	a
ver	ver
si	si
cogíamos	cogíamos
algo	algo
~.	~.
[RISAS]	[RISAS]
Y	Y
así	así
un	un
día	día
~,	~,
y	y
otro	otro
~,	~,
y	y
otro	otro
~,	~,
y	y
otro	otro
~.	~.
Pero	Pero
como	como
la	la
querías	querías
~,	~,
pos	pos
continuabas	continuabas
e-	e-
~,	~,
el	el
lío	lío
~,	~,
¿~	¿~
sabes	sabes
~?	~?
Continuabas	Continuabas
el	el
lío	lío
~.	~.
Sin	Sin
embargo	embargo
hoy	hoy
~,	~,
pues	pues
a	a
mí	mí
esto	esto
de	de
hoy	hoy
no	no
me	me
gusta	gusta
~.	~.
