estandar	dialectal	whisper
¿~	¿~	como
Cómo	Cómo	se
se	se	hacía
hacía	hacía	la
la	la	matanzada.
matanza	matanza	Me
~?	~?	daba.
[RISAS]	[RISAS]	Por
[HS:E1	[HS:E1	matándolo
		Yo			Yo	cerdo,
qué	qué	vendía
sé	sé	un
~.	~.	matanero,
		]			]	vendía
Pues	Pues	el
matando	matando	veterinario,
los	los	los
cerdos	cerdos	reconocía
~,	~,	y
venía	venía	luego
un	un	las
matancero	matancero	mujeres
~,	~,	pusimos
venía	venía	la
el	el	matanza,
veterinario	veterinario	nos
~,	~,	quitaban
los	los	los
reconocía	reconocía	tocinos,
y	y	picábamos
luego	luego	la
las	las	carne,
mujeres	mujeres	hacíamos
pos	pos	chorizo,
hacíamos	hacíamos	hacíamos
la	la	morcilla,
matanza	matanza	hacíamos
~.	~.	alchichó
Nos	Nos	y
quitaban	quitaban	luego
los	los	los
tocinos	tocinos	menudo,
~,	~,	como
picábamos	picábamos	cortilla
la	la	y
carne	carne	estas
~,	~,	cosas
hacíamos	hacíamos	así,
chorizo	chorizo	era
~,	~,	para
hacíamos	hacíamos	freírlas.
morcilla	morcilla	Todo
~,	~,	eso
hacíamos	hacíamos	era
salchichón	salchichó	lo
~,	~,	que
y	y	hacíamos.
luego	luego	Algunas
los	los	gallinitas
menudos	menudos	también
como	como	teníamos
costillas	costillas	claro,
y	y	pero
esas	esas	teníamos
cosas	cosas	huevitos
así	así	con
era	era	casa
pa	pa	también.
freírlas	freírlas	Y
~.	~.	luego
A	A	las
ver	ver	parcelas
~,	~,	que
todo	todo	nos
eso	eso	embraban
era	era	lo
lo	lo	que
qu'hacíamos	qu'hacíamos	padecía,
~.	~.	o
Algunas	Algunas	remolacha,
gallinitas	gallinitas	o
también	también	trigo,
teníamos	teníamos	sedada,
~,	~,	maíz,
claro	claro	algo
~.	~.	doy,
Pa	Pa	remolacha,
tener	tener	todo
huevitos	huevitos	eso.
pa	pa	Todos
casa	casa	esos
también	también	embraron
~.	~.	en
[RISA]	[RISA]	las
Y	Y	pastegas.
luego	luego	Nos
en	en	también
las	las	algunos
parcelas	parcelas	árboles
cada	cada	frotales
uno	uno	en
sembraba	sembraba	cuando
lo	lo	era
que	que	mucho,
pa-	pa-	pero
~,	~,	también
lo	lo	ya
que	que	había
parecía	parecía	algunos.
~:	~:	Y
o	o	era
remolacha	remolacha	lo
~,	~,	comido
o	o	por
trigo	trigo	los
~,	~,	servidos,
cebada	cebada	no
~,	~,	te
maíz	maíz	crees
~,	~,	que
algodón	algodón	había
~,	~,	mucha
remolacha	remolacha	financiación.
~…	~…	La
~,	~,	financiación
todo	todo	era
eso	eso	muy
~.	~.	poca.
Todo	Todo	Algunas
eso	eso	gallitas
sembraban	sembraban	también
en	en	teníamos
las	las	que
parcelas	parcelas	también
~.	~.	vendíamos
Teníamos	Teníamos	alguna,
también	también	o
algunos	algunos	hacíamos
árboles	árboles	unos
frutales	frutales	quesitos
~,	~,	para
aunque	aunque	casa.
no	no	Así,
era	era	todo
mucho	mucho	eso
~.	~.	era
Pero	Pero	la
también	también	vida
había	había	que
algunos	algunos	teníamos
~,	~,	nosotros.
pero	pero	Trabajamos
era	era	mucho
lo	lo	las
comido	comido	parcelas,
por	por	saca
lo	lo	poco,
servido	servido	porque
~.	~.	se
No	No	sacaba
te	te	muy
creas	creas	toca
que	que	cosa,
había	había	que
muchas	muchas	para
ganancias	ganancias	una
~.	~.	casa
Ganancias	Ganancias	de
bien	bien	familia
pocas	pocas	vivir,
~.	~.	los
Alguna	Alguna	hijos
lechita	lechita	se
también	también	tenían
teníamos	teníamos	que
que	que	echar
también	también	fuera
vendíamos	vendíamos	a
alguna	alguna	trabajar,
~.	~.	que
O	O	debíamos
hacíamos	hacíamos	las
unos	unos	mujeres
quesitos	quesitos	y
pa	pa	que
casa	casa	debamos
~.	~.	mayores.
Así	Así	No
~,	~,	tenía
todo	todo	parcelas,
