estandar	dialectal	whisper
Eh	Eh	aquí
~,	~,	lo
sí	sí	que
~.	~.	se
Aquí	Aquí	hacía
lo	lo	siempre,
que	que	siempre
se	se	se
hacía	hacía	hacía
siempre	siempre	el
~,	~,	cotido,
siempre	siempre	considero
se	se	a
hacía	hacía	diario.
el	el	Y
cocido	cocido	el
~,	~,	día
cocido	cocido	de
era	era	fiesta
diario	diario	se
y	y	hacía
el	el	un
día	día	poco
de	de	de
fiesta	fiesta	extraordinario,
~,	~,	digamos
se	se	como
hacía	hacía	decíamos
un	un	aquí
poquito	poquito	nosotros,
de	de	o
extraordinario	extraordinario	un
~,	~,	cumpleaños
digamos	digamos	de
~,	~,	uno
como	como	de
decíamos	decíamos	los
aquí	aquí	de
nosotros	nosotros	la
~.	~.	familia
[RISA]	[RISA]	o
A	A	nosotros
lo	lo	luego
mejó	mejó	hemos
~,	~,	comido
era	era	siempre
un	un	porque
cumpleaños	cumpleaños	como
de	de	no
~,	~,	tiene
de	de	la
uno	uno	candidacia,
de	de	o
los	los	como
de	de	me
la	la	amos
familia	familia	carne
o	o	y
~…	~…	como
Nosotros	Nosotros	ya
desde	desde	más
luego	luego	de
hemos	hemos	todos,
comido	comido	porque
siempre	siempre	te
porque	porque	podré
como	como	si
hemos	hemos	estás
tenido	tenido	entonces
carnicería	carnicería	de
pues	pues	mi
comíamos	comíamos	época,
carne	carne	el
y	y	condicio
comíamos	comíamos	era
de	de	chiquitito,
todo	todo	no,
~,	~,	no,
lo	lo	no,
que	que	no,
[PS]	[PS]	no,
aquellos	aquellos	no,
pobrecitos	pobrecitos	no,
de	de	no,
entonces	entonces	no,
~,	~,	no,
de	de	no
mi	mi	se
época	época	se
~,	~,	corta,
de	de	a
cuando	cuando	ver
yo	yo	las
era	era	pojeras,
chiquitita	chiquitita	que
~,	~,	entonces
pues	pues	estaba
no	no	a
~,	~,	la
no	no	calle
podían	podían	hambre
esas	esas	y
cosas	cosas	está,
porque	porque	pero
era	era	bueno,
la	la	yo
posguerra	posguerra	te
~,	~,	digo
que	que	que
entonces	entonces	no
estaba	estaba	te
~…	~…	puede
na	na	contar,
más	más	exactamente
que	que	una
había	había	cosa,
hambre	hambre	pero
y	y	estoy
ya	ya	orientando
está	está	sobre
~,	~,	lo
pero	pero	que
bueno	bueno	había
~,	~,	y
por	por	lo
eso	eso	que
te	te	hay.
digo	digo	Y
~,	~,	entonces
que	que	yo
no	no	más
te	te	o
puedo	puedo	menos,
contar	contá	como
exactamente	exactamente	yo
una	una	tengo
cosa	cosa	las
ni	ni	cosas
otra	otra	en
pero	pero	casa,
te	te	no,
estoy	estoy	si
orientando	orientando	tengo
sobre	sobre	mi
lo	lo	carne
que	que	de
había	había	ferro,
y	y	mi
lo	lo	carne
que	que	de
hay	hay	chiquitito,
~.	~.	no
Y	Y	te
entonces	entonces	digo
~,	~,	de
yo	yo	pollo,
más	más	de
o	o	campo,
menos	menos	los
~,	~,	tengo
como	como	el
yo	yo	campo,
tengo	tengo	los
las	las	huevos,
cosas	cosas	del
en	en	campo,
casa	casa	de
~,	~,	mi
¿~	¿~	gatinita,
no	no	de,
~?	~?	pues
~,	~,	entonces
yo	yo	te
tengo	tengo	quiero
mi	mi	decir
carne	carne	con
de	de	esto
cerdo	cerdo	que
~,	~,	yo,
mi	mi	no,
carne	carne	no
de	de	te
chivito	chivito	pongo
~,	~,	porque
[RISA]	[RISA]	tengo
como	como	la
te	te	mayoría
digo	digo	de
~,	~,	las
de	de	cosas
pollo	pollo	en
[PS]	[PS]	todas
de	de	las
campo	campo	naturales
~,	~,	de
los	los	mi
tengo	tengo	casa,
en	en	entonces
el	el	yo
campo	campo	no
~,	~,	te
los	los	pude
huevos	huevos	decir
del	del	el
campo	campo	que
~,	~,	eso
de	de	lo
mis	mis	hago
gallinitas	gallinitas	yo,
~,	~,	no
de	de	me
~…	~…	cuino
Pues	Pues	con
entonces	entonces	el
te	te
quiero	quiero
decir	decí
con	con
esto	esto
que	que
yo	yo
lo	lo
noto	noto
poco	poco
porque	porque
tengo	tengo
la	la
mayoría	mayoría
de	de
las	las
cosas	cosas
son	son
todas	todas
naturales	naturales
de	de
mi	mi
casa	casa
~.	~.
Tonces	Tonces
yo	yo
[PS]	[PS]
no	no
te	te
pueo	pueo
decir	decir
~|	~|
el	el
queso	queso
lo	lo
hago	hago
yo	yo
~,	~,
nos	nos
~,	~,
nos	nos
lo	lo
comemos	comemos
nosotros	nosotros
~,	~,
lo	lo
ha-	ha-
~,	~,
lo	lo
hacemos	hacemos
todo	todo
~.	~.
