estandar	dialectal	whisper
Sí	Sí	ha
~…	~…	cambiado
~,	~,	mucho.
ha	ha	Entonces,
cambiado	cambiado	se
mucho	mucho	hacía
~.	~.	clase
Entoces	Entoces	los
se	se	sábados
hacía	hacía	por
clase	clase	la
los	los	mañana
sábados	sábados	también.
por	por	Y
la	la	la
mañana	mañana	mitad
también	también	del
~.	~.	colegio
Y	Y	limpiava,
~…	~…	se
la	la	limpia
mitad	mitad	la
del	del	este
colegio	colegio	colegio
[OTRAS-EM]	[OTRAS-EM]	ahora,
limpiaba	limpiaba	o
~,	~,	reformaron,
se	se	y
limpiaba	limpiaba	está
~…	~…	muy
este	este	bien,
colegio	colegio	que
~,	~,	ya
ahora	ahora	época
es	es	no
~…	~…	era
~,	~,	lo
lo	lo	que
reformaron	reformaron	es
y	y	ahora.
está	está	Había
muy	muy	valdozas
bien	bien	de
~,	~,	esas
pero	pero	rojas,
en	en	esas
aquella	aquella	rojas
época	época	retangulares.
no	no	Se
era	era	barría
lo	lo	con
que	que	serrin
es	es	mojado,
ahora	ahora	se
~.	~.	mojaba
Había	Había	serrin
~…	~…	en
~,	~,	un
había	había	cubo
baldosas	baldosas	y
de	de	se
esas	esas	chaba
rojas	rojas	al
~,	~,	suelo
[R-Ind]	[R-Ind]	para
de	de	recoger
esas	esas	el
rojas	rojas	polvo.
rectangulares	rectangulares	Porque
~.	~.	a
Y	Y	las
se	se	calles
barría	barría	del
con	con	municipio
~,	~,	no
[OTRAS-EM]	[OTRAS-EM]	estaban
serrín	serrín	payimentadas,
mojado	mojado	entonces
~,	~,	cuando
se	se	yo
mojaba	mojaba	vía,
serrín	serrín	pues
en	en	dentro
un	un	era
cubo	cubo	embarrizal.
y	y	Los
se	se	sitios,
echaba	echaba	las
al	al	tiendas
suelo	suelo	también
para	para	tenían
recoger	recoger	que
el	el	esparcir
~…	~…	serrin,
~,	~,	porque
el	el	la
polvo	polvo	gente
porque	porque	con
[R-Inf]	[R-Inf]	los
l-	l-	zapatos
~,	~,	entraba
las	las	barro
calles	calles	de
del	del	la
municipio	municipio	calle.
no	no	Entonces
estaban	estaban	los
pavimentadas	pavimentadas	sábados
y	y	allí,
entoces	entoces	la
~,	~,	mitad
[OTRAS-EM]	[OTRAS-EM]	le
cu-	cu-	impiaba,
~,	~,	y
cuando	cuando	la
llovía	llovía	otra
pues	pues	mitad,
[OTRAS-EM]	[OTRAS-EM]	el
dentro	dentro	maestro
era	era	nos
~,	~,	hacía
era	era	arrasar
~…	~…	a
un	un	los
barrizal	barrizal	rosarios.
~,	~,	Entonces,
los	los	a
sitios	sitios	mi
~.	~.	sa,
Las	Las	obligatoriamente,
tiendas	tiendas	los
también	también	domingos
tenían	tenían	teníamos
que	que	que
esparcir	esparcir	ir
~…	~…	a
serrín	serrín	mi
~…	~…	sa,
porque	porque	que
la	la	el
~,	~,	maestro
la	la	también
gente	gente	estaba.
con	con	Y
los	los	si
~,	~,	uno
con	con	hacía
los	los	falta,
zapatos	zapatos	lo
entraba	entraba	unes
~…	~…	explicar
barro	barro	porque
de	de	no
~,	~,	había
de	de	sido
la	la	a
calle	calle	la
~.	~.	iglesia.
[HS:E1	[HS:E1	Entonces
		Ya			Ya	normalmente
~,	~,	nos
ya	ya	hacía
~.	~.	estar
		]			]	de
Sí	Sí	pie,
~.	~.	de
[R-Inf]	[R-Inf]	pie,
To-	To-	el
~,	~,	pasillo
iba	iba	central,
así	así	de
~.	~.	pie,
Y	Y	toda
entoces	entoces	la
los	los	amisa.
sábados	sábados	No
allí	allí	quería
la	la	yo
~,	~,	no
la	la	sentásemos.
~,	~,	Y
la	la	si
m-	m-	uno
~,	~,	se
la	la	rescaba
mitad	mitá	la
limpiábamos	limpiábamos	oreja,
y	y	más
la	la	de
otra	otra	la
mitad	mitad	cuenta,
~…	~…	también
[OTRAS-EM]	[OTRAS-EM]	el
el	el	lunes.
maestro	maestro	Entonces
nos	nos	los
hacía	hacía	maestros
re-	re-	que
~,	~,	hay
rezarnos	rezarnos	a
el	el	la
rosario	rosario	época,
~.	~.	pues
[HS:E1	[HS:E1	pegaban
		Ya			Ya	por
ya	ya	nada,
~.	~.	fue
		]			]	feada
Entoces	Entoces	bien,
el	el	fue
~…	~…	feada
~,	~,	va.
el	el	Y
~…	~…	bueno,
~,	~,	más
a	a	vale
misa	misa	que
o-	o-	nos
~,	~,	explicarlo,
obligatoriamente	obligatoriamente	porque
los	los	era...
domingos	domingos	Y
teníamos	teníamos	los
que	que	padres
ir	ir	que
a	a	pasaba,
misa	misa	que
~,	~,	lo
que	que	decía,
el	el	no?
maestro	maestro	Me
también	también	ha
estaba	estaba	pegado
~,	~,	el
y	y	maestro,
si	si	y
uno	uno	a
hacía	hacía	la
falta	falta	vez
~,	~,	no
[OTRAS-EM]	[OTRAS-EM]	hayan
el	el	uno
lunes	lunes	de
a	a	sí
explicar	explicar	el
por	por	padre
qué	qué	que
no	no	le
habías	habías	pegaba,
ido	ido	porque
a	a	todo
la	la	el
escuel-	escuel-	padre
~,	~,	lo
a	a	acababa
la	la	de
~…	~…	arreglar.
~,	~,	Señal
a	a	que
la	la	te
iglesia	iglesia	lo
~.	~.	merecías.
Entoces	Entoces	Había
normalmente	normalmente	habido
nos	nos	aquí
hacía	hacía	un
estar	estar	maestro
de	de	muy
pie	pie	bueno,
~,	~,	se
de	de	llamaba
pie	pie	a
en	en	Peñedo
un	un	Vaqué,
~,	~,	curiosamente
en	en	vivía
un	un	donde
~,	~,	vivo
en	en	yo.
el	el	Había
pasillo	pasillo	como
central	central	un
~,	~,	pequeño
de	de	piso,
pie	pie	que
~,	~,	en
toa	toa	esta
la	la	casa
misa	misa	tiene
~.	~.	casi
N-	N-	200
~,	~,	metros.
no	no	Entonces
quería	quería	no
que	que	ocupaba
nos	nos	todo,
sentásemos	sentásemos	pero
~.	~.	hacía
[R-Cas]	[R-Cas]	vida
[HS:E1	[HS:E1	allí
		Ya			Ya	este
~,	~,	señor.
ya	ya	Y
~.	~.	era
		]			]	muy
Y	Y	serio,
si	si	muy
uno	uno	serio.
se	se	A
rascaba	rascaba	los
la	la	alumnos
oreja	oreja	los
más	más	cuidaba
de	de	matar
la	la	a
cuenta	cuenta	golpes,
~,	~,	a
también	también	golpes.
el	el	Incluso
lunes	lunes	había
ya	ya	provisionalmente,
lo	lo	antes
arre-	arre-	de
~.	~.	construir
Entoces	Entoces	esta
~,	~,	escuela,
se	se	habían
~…	~…	hecho
~,	~,	clase
los	los	allí
maestros	maestros	en
de	de	una
aquella	aquella	casa
época	época	particular,
pues	pues	y
pegaban	pegaban	había
por	por	una
nada	nada	sala
~,	~,	arriba,
bo-	bo-	y
~,	~,	había
bo-	bo-	un
bofetada	bofetada	tramo
[A-PIn:	[A-PIn:	de
		viene			viene	escaleras
		]			]	hasta
y	y	llegar
bofetada	bofetada	a
va	va	la
~.	~.	sala.
Y	Y	Había
~…	~…	unos
~,	~,	14
y	y	o
~,	~,	15
bueno	bueno	escaleras,
~,	~,	si
y	y	todo
~…	~…	entramos,
más	más	hasta
~,	~,	abajo,
más	más	hasta
vale	vale	la
no	no	entrada.
explicarlo	explicarlo	Y
porque	porque	a
era	era	veces
~…	~…	se
Y	Y	cabrea
los	los	a
pa-	pa-	un
~,	~,	alumno,
los	los	abría
padres	padres	la
que	que	puerta,
pasaban	pasaban	lo
~,	~,	cogía
[A-Inn]	[A-Inn]	por
[A-PIn:	[A-PIn:	la
		que			que	breja,
decían	decían	lo
		]			]	ponía
~:	~:	ahí
«~	«~	en
No	No	la
~,	~,	punta
[OTRAS-EM]	[OTRAS-EM]	y
me	me	de
ha	ha	una
pegado	pegado	patada,
el	el	en
maestro	maestro	el
~»	~»	trasero
~.	~.	lo
Y	Y	enviaba,
el	el	el
~,	~,	rellano
el	el	que
~,	~,	empezaba,
el	el	todo
alumno	alumno	el
ya	ya	tramo
no	no	rodando.
lo	lo	Había
decía	decía	una
al	al	madre
padre	padre	y
que	que	va
le	le	a
pegaba	pegaba	quejarse
~,	~,	y
porque	porque	le
entoces	entoces	decía,
el	el	no
padre	padre	suba,
lo	lo	no
acaba	acaba	suba,
de	de	porque
re-	re-	usted
~,	~,	va
de	de	a
arreglar	arreglar	bajar
