estandar	dialectal	whisper
No	No	No,
~,	~,	no
no	no	voy
~,	~,	a
ya	ya	trabajar
~,	~,	si
de	de	que
trabajar	trabajar	trabaja
sí	sí	mucho,
que	que	mucho.
he	he	Y
trabajao	trabajao	ahora
~;	~;	hace
mucho	mucho	unos
~,	~,	segundos
mucho	mucho	años
~.	~.	hace
Y	Y	ya,
ahora	ahora	15,
~,	~,	18,
hasta	hasta	la
hace	hace	casa
~|	~|	está
no	no	la
sé	sé	tiretada
cuántos	cuántos	menos
años	años	las
hace	hace	predes
~,	~,	de
ya	ya	fuera.
~;	~;	De
quince	quince	dentro
~,	~,	lo
dieciocho	dieciocho	tengo
~,	~,	todo
no	no
sé	sé
~,	~,
la	la
casa	casa
esta	esta
la	la
tiré	tiré
toda	toda
menos	menos
las	las
paredes	paredes
de	de
fuera	fuera
~.	~.
De	De
dentro	dentro
lo	lo
tengo	tengo
todo	todo
nuevo	nuevo
~.	~.
