estandar	dialectal	whisper
sí	sí	No
~,	~,	sé
sí	sí	cómo
~.	~.	era
No	No	yo
~,	~,	trabajo
no	no	lo
~,	~,	que
no	no	se
~,	~,	han
no	no	ido
aún	aún	a
no	no	los
~,	~,	pueblos.
según	según	Y
mire	mire	gratis,
~,	~,	nos
yo	yo	cobramos
trabajo	trabajo	nunca
lo	lo	en
que	que	un
sea	sea	duro.
[HS:E1	[HS:E1	Ya
		[RISA]			[RISA]	me
		]			]	dirás
pa	pa	que
ayudar	ayudar	clase
al	al	de
pueblo	pueblo	político.
~,	~,	Pero
eh	eh	bueno,
~.	~.	nos
[HS:E1	[HS:E1	hacemos
		[Asent]			[Asent]	para
~.	~.	conservar
		]			]	el
Y	Y	pueblo.
~…	~…	A
~,	~,	mí
y	y	el
gratis	gratis	pueblo
~,	~,	consideró
eh	eh	que
~.	~.	hay
No	No	que
hemos	hemos	tenerlo
cobrado	cobrao	arreglado
nunca	nunca	y
ni	ni	que
un	un	la
duro	duro	gente
~,	~,	esté
eh	eh	también
~.	~.	como
[HS:E1	[HS:E1	pueda,
		[Asent]			[Asent]	como
~.	~.	se
		]			]	pueda
Ya	Ya	y
me	me	no
dirás	dirás	hace
~…	~…	nada
qué	qué	si
clase	clase	se
de	de	queda.
político	político	Y
~,	~,	lo
¿~	¿~	vamos
eh	eh	logramos,
~?	~?	¿eh?
[HS:E1	[HS:E1	¿De
		[RISAS]			[RISAS]	crees
[Asent]	[Asent]	que
~.	~.	lo
		]			]	hemos
Pero	Pero	logramos
bueno	bueno	bastante?
~,	~,	Hemos
lo	lo	dejado
hacemos	hacemos	por
para	para	lo
conservar	conservar	bastante
el	el	en
pueblo	pueblo	condiciones.
~,	~,	Y
tú	tú	bueno,
~.	~.	en
[HS:E1	[HS:E1	el
		[Asent]			[Asent]	momento...
~.	~.	Hay
		]			]	gente
A	A	que
mí	mí	están
el	el	contentos,
pueblo	pueblo	otros
~…	~…	que
[OTRAS-EM]	[OTRAS-EM]	no,
considero	considero	pero
que	que	sí
hay	hay	es
que	que	lógico.
tenerlo	tenerlo	Pero
arreglado	arreglao	la
y	y	mayoría
que	que	está
la	la
gente	gente
estén	estén
tan	tan
bien	bien
como	como
puedan	puedan
~,	~,
como	como
se	se
pueda	pueda
y	y
~…	~…
que	que
no	no
falte	falte
nada	nada
si	si
se	se
puede	puede
~,	~,
tú	tú
~.	~.
Y	Y
lo	lo
vamos	vamos
logrando	logrando
~,	~,
eh	eh
~.	~.
No	No
te	te
creas	creas
que	que
~…	~…
lo	lo
hemos	hemos
lograo	lograo
bastante	bastante
eso	eso
~,	~,
eh	eh
~.	~.
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
Hemos	Hemos
dejao	dejao
el	el
pueblo	pueblo
bastante	bastante
en	en
condiciones	condiciones
~,	~,
y	y
bueno	bueno
~…	~…
~,	~,
de	de
momento	momento
~…	~…
hay	hay
gente	gente
que	que
están	están
contentos	contentos
~,	~,
otros	otros
que	que
no	no
~,	~,
pero	pero
eso	eso
es	es
lógico	lógico
~.	~.
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
O	O
sea	sea
que	que
~…	~…
Pero	Pero
la	la
mayoría	mayoría
están	están
~…	~…
~,	~,
están	están
contentos	contentos
~.	~.
