estandar	dialectal	whisper
[R-Vhc]	[R-Vhc]	porque
¿~	¿~	yo
Por	Por	cuando
qué	qué	leía
~?	~?	el
Pues	Pues	libro
~…	~…	de
yo	yo	texto
cuando	cuando	había
leía	leía	el
el	el	número
libro	libro	500,
~…	~…	pero
de	de	yo
texto	texto	en
~…	~…	aquella
había	había	época
el	el	no
número	número	sabía
quinientos	quinientos	el
~.	~.	castellano,
[HS:E1	[HS:E1	yo
		[Asent]			[Asent]	según
~.	~.	mío
		]			]	cretó
Pero	Pero	yo
yo	yo	200,
en	en	300,
aquella	aquella	400,
época	época	500,
no	no	los
sabía	sabía	señal
el	el	de
castellano	castellano	rodillas
~,	~,	estudiando,
no	no	acabo
lo	lo	de
sabía	sabía	una
~.	~.	hora,
Yo	Yo	y
~,	~,	a
según	según	esa
mi	mi	vez
criterio	criterio	el
~:	~:	genúmero
cien	cien	si
~,	~,	señor
doscientos	doscientos	Coales
~,	~,	el
trescientos	trescientos	500
~,	~,	de
cuatrocientos	cuatrocientos	Ríes
~,	~,	estudiando,
quinientos	cincocientos	es
~.	~.	un
[RISAS]	[RISAS]	bepa
Y	Y	sécto
el	el	de
señor	señor	la
~:	~:	mañana,
«~	«~	y
De	De	cuando
rodillas	rodillas	salí
a	a	pregunté
estudiar	estudiar	a
~»	~»	un
~.	~.	compañero,
Al	Al	pero
cabo	cabo	no
de	de	es
una	una	un
hora	hora	sincéns,
~:	~:	dice
«~	«~	si,
		pero
Anonimizado	Anonimizado	se
		encaseñándose,
~,	~,	dice
¿~	¿~	500,
ya	ya	para
sabes	sabes	mí
el	el	era
~,	~,	un
el	el	mal
~,	~,	maestro,
qué	qué	porque
número	número	si
~?	~?	tenía
~»	~»	que
~.	~.	enseñar,
«~	«~	no
Sí	Sí	tenía
~,	~,	que
señor	señor	seguir,
~»	~»	tú
~.	~.	sabes
«~	«~	el
¿~	¿~	número,
Cuál	Cuál	pero
es	es	no
~?	~?	lo
~»	~»	sabes
~.	~.	pronunciar,
«~	«~	porque
El	El	el
quinientos	cincocientos	castellano
~»	~»	no
~.	~.	lo
«~	«~	sabíamos
~¡~	~¡~	en
De	De	aquella
rodillas	rodillas	época,
a	a	al
estudiar	estudiar	caso
~!	~!	es
~»	~»	que
~.	~.	había
Me	Me	70
pasé	pasé	alumnos
toda	toda	en
la	la	la
mañana	mañana	misma
allí	allí	aula,
de	de	pero
~,	~,	como
de	de	había
~,	~,	aquellos
de	de	tres
rodillas	rodillas	años
y	y	de
~,	~,	guerra,
cuando	cuando	resulta
salí	salí	que
~,	~,	los
pregunté	pregunté	que
a	a	tenían
un	un	11,
compañero	compañero	12,
~:	~:	13
«~	«~	años
¿~	¿~	también
Pero	Pero	estaban
este	este	allí,
número	número	este
no	no	maestro
~,	~,	se
no	no	preocupó
es	es	más
el	el	de
[L-Otra:	[L-Otra:	los
		cinc-cents			cinc-cents	que
		]			]	tenían
~?	~?	que
~»	~»	salir
~.	~.	enseguida,
[HS:E2	[HS:E2	que
		[Asent]			[Asent]	ya
~.	~.	terminaban
		]			]	por
[A-PIn:	[A-PIn:	cumplir
		Dici			Dici	el
		]			]	próximo
~:	~:	año,
«~	«~	los
Sí	Sí	14,
~,	~,	que
pero	pero	nosotros
es	es	que
que	que	teníamos,
en	en	siete
castellano	castellano	ocho,
se	se	a
dice	dice	las
quinientos	quinientos	13,
~»	~»	al
~.	~.	cabo
Para	Para	de
mí	mí	dos
era	era	años
un	un	murió
mal	mal	ese
maestro	maestro	maestro,
porque	porque	yo
~,	~,	vivía
si	si	aquí
tenía	tenía	en
que	que	esta
enseñar	enseñar	calle
~,	~,	y
me	me	una
lo	lo	tarde
tenía	tenía	fui
que	que	a
decir	decir	buscar
enseguida	enseguida	hierba
~:	~:	para
«~	«~	los
Tú	Tú	conejos,
sabes	sabes	porque
el	el	mi
número	número	madre
~,	~,	era
sabes	sabes	viuda
~…	~…	y
~,	~,	ella
pero	pero	trabajaba
no	no	la
lo	lo	fábrica,
sabes	sabes	y
pronunciar	pronunciar	resulta
~»	~»	que
~.	~.	yo
Porque	Porque	tenía
el	el	que
castellano	castellano	ir
no	no	a
lo	lo	buscar
sabíamos	sabimos	también
en	en	comida
aquella	aquella	para
época	época	los
~.	~.	conejos,
[HS:E2	[HS:E2	pero
		[Asent]			[Asent]	cuando
~.	~.	llegué
		]			]	a
Bueno	Bueno	casa,
~,	~,	me
el	el	llevó
caso	caso	a
es	es	los
que	que	manos,
había	había	con
setenta	setenta	que
alumnos	alumnos	la
en	en	cartera
la	la	para
misma	misma	hierrar
aula	aula	el
~.	~.	paso,
[HS:E1	[HS:E1	y
		[Asent]			[Asent]	una
~.	~.	señora
		]			]	me
Pero	Pero	dite,
como	como	¿dónde
que	que	vas
~…	~…	a
había	había	ir?
aquellos	aquellos	Y
tres	tres	después
años	años	a
de	de	la
guerra	guerra	repasa,
~,	~,	y
resulta	resulta	que
que	que	no
los	los	sabes
que	que	que
tenían	tenían	el
once	once	maestro
~,	~,	se
doce	doce	ha
~,	~,	muerto
trece	trece	esa
años	años	tarde,
también	también	me
~,	~,	salió
también	también	de
estaban	estaban	dentro,
allí	allí	gracias
~.	~.	a
Él	Él	Dios,
~,	~,	porque
este	este	no
maestro	maestro	era
se	se	forma
preocupó	preocupó	de
más	más	enseñar,
de	de	y
los	los	a
que	que	una
tenían	tenían	hora
que	que	que
salir	salir	tengo
enseguida	enseguida	los
~,	~,	87
que	que	años,
ya	ya	a
~,	~,	un
ya	ya	veo
terminaban	terminaban	que
por	por	no
~,	~,	lo
por	por	había
cumplir	cumplir	bien,
el	el	tenía
próximo	próximo	que
año	año	hacer
los	los	otra
catorce	catorce	forma,
~,	~,	enseñar,
[HS:E1	[HS:E1	no
