estandar	dialectal	whisper
Sí	Sí	Sí,
~,	~,	todas
todas	todas	esas
esas	esas	cobras
coplas	coplas	que
que	que	habían
venían	venían	tenido
antiguos	antiguos	un
aquí	aquí	proyecto
pa	pa	de
ellos	ellos	idea.
~.	~.	Ahí
Hay	Hay	no
ahí	ahí	hubo
~,	~,	un
en	en	pueblo,
un	un	el
pueblo	pueblo	busque,
que	que	que
había	había	ha
un	un	sido
señor	señor	cualquier
que	que	acontecimiento
se	se	que
~|	~|	pasaron
que	que	un
cualquier	cualquier	pueblo
acontecimiento	acontecimiento	y
que	que	hasta
pasara	pasara	ahora
en	en	aparejando
un	un	sus
pueblo	pueblo	cobras.
~,	~,	Nos
ya	ya	procuraba
estaba	estaba	cualquier
él	él	música
aparejando	aparejando	y
sus	sus	ya
coplas	coplas	tenías
~,	~,	la
las	las	música
acoplaba	acoplaba	moderna.
cualquier	cualquier	No
música	música	te
~,	~,
y	y
ya	ya
tenías	tenías
la	la
música	música
moderna	moderna
~.	~.
[RISAS]	[RISAS]
Los	Los
tiempos	tiempos
~.	~.
