estandar	dialectal	whisper
Pues	Pues	lo
mira	mira	matábamos,
~,	~,	la
lo	lo	vamos
matábamos	matábamos	a
la	la	poner,
~…	~…	siempre
~,	~,	lo
vamos	vamos	metábamos
a	a	en
suponer	suponer	viernes,
~.	~.	el
Casi	Casi	viernes
siempre	siempre	lo
lo	lo	matábamos,
matábamos	matábamos	luego
en	en	el
viernes	viernes	sábado,
~,	~,	lo
el	el	hacíamos
viernes	viernes	el
lo	lo	picadillo,
matábamos	matábamos	lo
~,	~,	metíamos
y	y	en
luego	luego	adobo,
el	el	el
sábado	sábado	picadillo
~,	~,	y
le	le	el
hacíamos	hacíamos	sábado,
el	el	el
picadillo	picadillo	domingo
~,	~,	dejábamos
lo	lo
metíamos	metíamos
en	en
adobo	adobo
~,	~,
el	el
picadillo	picadillo
~,	~,
y	y
el	el
sábado	sábado
~,	~,
el	el
domingo	domingo
dejábamos	dejábamos
dormir	dormir
~.	~.
