estandar	dialectal	whisper
Pues	Pues	Ellasaren
~,	~,	rapidamente.
pues	pues	September
mucho	mucho	2018,
tiempo	tiempo	él
~.	~.	empezó
[HS:E1	[HS:E1	a
		¿~			¿~	tomar
Sí	Sí	måler,
~?	~?	y
		]			]	ni
Sí	Sí	algo
~.	~.	de
Ya	Ya	prakt
~,	~,	übersoreco,
pues	pues	o
no	no	partly
~,	~,	él,
porque	porque
últimamente	últimamente
no	no
~…	~…
~|	~|
los	los
metía	metía
en	en
el	el
congelador	congelador
~,	~,
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
¿~	¿~
sabes	sabes
~?	~?
Y	Y
ya	ya
después	después
~…	~…
