estandar	dialectal	whisper
Las	Las	que
faldas	faldas	son
que	que	las
tienen	tienen	faldas
un	un	que
poquito	poquito	tienen
de	de	un
magro	magro	poquito
~,	~,	de
que	que	magro,
es	es	que
lo	lo	es
que	que	lo
se	se	que
llama	llama	se
ahora	ahora	llama
~,	~,	ahora,
qué	qué	ahora
bueno	bueno	que
está	está	bueno
eso	eso	estaba
ahora	ahora	el
~,	~,	panceta.
la	la	¿Qué
panceta	panceta	es
~.	~.	rica?
Qué	Qué	¿Qué
rica	rica	está?
está	está	¿Qué
~.	~.	es
Oye	Oye	rica?
~,	~,	¿Y
y	y	qué
que	que	es
es	es	vincar
bien	bien	a
cara	cara	la
la	la	panceta?
panceta	panceta	Es
~.	~.	muy
Es	Es
muy	muy
rica	rica
~.	~.
