estandar	dialectal	whisper
tien-	tien-	la
~,	~,	vuelta
da	da	a
la	la	todos
vuelta	vuelta	los
todo	todo	tubos,
~,	~,	un
todos	todos	coche
esos	esos	de
pueblos	pueblos	línea
~,	~,	y
un	un	los
coche	coche	treba
línea	línea	y
y	y	los
los	los	trae.
lleva	lleva	Esosí
y	y	está
los	los	bien.
trae	trae	Eslo
~.	~.	están
Eso	Eso	las
sí	sí	agoncias
está	está	para
bien	bien	enfrentar
~.	~.	a
Están	Están	los
concentraos	concentraos
y	y
allí	allí
comen	comen
en	en
Espinosa	Espinosa
y	y
todo	todo
~.	~.
Eso	Eso
sí	sí
~.	~.
