estandar	dialectal	whisper
Y	Y	Y
des-	des-	después
~,	~,	se
esa	esa	me
me	me	le
la	la	mató
mató	mató	mi
mi	mi	hermano.
hermano	hermano	Después
~,	~,	me
después	después	diélo
me	me	en
dieron	dieron	otra.
otra	otra	Y
~,	~,	bueno,
digo	digo	me
~:	~:	maté
«~	«~	el
Bueno	Bueno	valor
~,	~,	de
voy	voy	matarlayo.
a	a	La
tener	tener	tumba
el	el	no
valor	valor	fue
de	de	de
matarla	matarla	pajar
yo	yo	eso.
~»	~»	Sí,
~.	~.	sí.
La	La	Pues
tumbo	tumbo	ahí
en	en	le
un	un	sacó
fardo	fardo	suerte.
de	de	La
paja	paja	tumba
~,	~,	me
¿~	¿~	fue
ya	ya	de
sabes	sabes	un
lo	lo	pajar
que	que	y
es	es	le
un	un	díate
fardo	fardo	a
de	de	una
paja	paja	mediente
~?	~?	de
[HS:E2	[HS:E2	la
		Sí			Sí	tumba.
~.	~.	La
Sí	Sí	clave
~,	~,	el
sí	sí	puchillo,
~,	~,	no
sí	sí	que
~.	~.	se
		]			]	me
Pues	Pues	iba
áhi	áhi	a
en	en	que
esa	esa	me
~…	~…	corté
~,	~,	todo
la	la	el
tumbo	tumbo
en	en
el	el
fardo	fardo
de	de
paja	paja
y	y
ella	ella
tan	tan
obediente	obediente
se	se
tumba	tumba
~,	~,
la	la
clavé	clavé
el	el
cuchillo	cuchillo
~,	~,
pero	pero
no	no
quise	quise
mirar	mirar
~,	~,
que	que
me	me
corté	corté
to'l	to'l
dedo	dedo
por	por
así	así
~.	~.
