estandar	dialectal	whisper
Salen	Salen	salen
los	los	los
mozos	mozos	motos
en	en	en
~…	~…	caballos
caballos	caballos	por
~,	~,	la
por	por	noche
la	la	y
noche	noche	llevan
~,	~,	escovones,
y	y	escovones
llevan	llevan	es
~…	~…	una
escobones	escobones	hierba
~,	~,	que
que	que	vea
escobones	escobones	y
es	es	encampo
una	una	muy
hierba	hierba	grandes
que	que	y
de	de	los
~|	~|	van
hay	hay	entendiendo
en	en	y
el	el	la
campo	campo	gente
muy	muy	está
grande	grande	habiéndolo
~,	~,	pero
y	y	si
los	los	tú
van	van	estas
encendiendo	encendiendo	van
~,	~,	los
y	y	forasteros
la	la	lo
gente	gente	que
está	está	sea
viéndolo	viéndolo	van,
~,	~,	te
pero	pero	escovatos
es	es	van
~|	~|	y
si	si	escovienzo
tú	tú	vienen
estás	estás	y
~,	~,	tú
van	van	pueden
los	los	hasta
forasteros	forasteros	quemar,
~,	~,	toda
lo	lo	la
que	que	gente
sea	sea	que
~,	~,	se
van	van	mete
escobazos	escobazos	en
van	van	eso
y	y	sabe
escobazos	escobazos	ya
vienen	vienen	que
~.	~.	la
Y	Y	puede
~…	~…	pasar
te	te	eso
pueden	pueden	a
hasta	hasta	ver
quemar	quemar	que
~.	~.	están
Pero	Pero	abertidos
la	la	y
gente	gente	es
que	que	muy
se	se	bonito
mete	mete	también
en	en	y
eso	eso	eso
sabe	sabe	lo
ya	ya	han
que	que	puesto
la	la	ya
puede	puede	como
pasar	pasar	típico
eso	eso	y
~,	~,	salen
¿~	¿~	muchas
sabes	sabes	revistas
~?	~?	y
Que	Que	muchas
están	están	cosas
advertidos	advertidos	el
~,	~,	piso
y	y	de
es	es	los
muy	muy	cobasos
bonito	bonito	que
también	también	es
~.	~.	el
Y	Y	Francisco
eso	eso	que
lo	lo	está
han	han	al
puesto	puesto
ya	ya
como	como
~…	~…
~,	~,
como	como
típico	típico
~,	~,
[HS:E1	[HS:E1
		Sí			Sí
~.	~.
		]			]
y	y
sale	sale
en	en
~…	~…
mucha	mucha
~…	~…
~,	~,
en	en
muchas	muchas
revistas	revistas
y	y
muchas	muchas
cosas	cosas
~,	~,
el	el
Cristo	Cristo
de	de
la	la
~…	~…
~|	~|
de	de
los	los
Escobazos	Escobazos
~,	~,
que	que
es	es
el	el
día	día
[R-Inf]	[R-Inf]
siete	siete
de	de
setiembre	setiembre
~,	~,
la	la
víspera	víspera
de	de
la	la
Inmaculada	Inmaculada
~.	~.
