estandar	dialectal	whisper
Sí	Sí	todavía
~.	~.	había
Todavía	Toavía	que
había	había	ahora
~…	~…	al
Es	Es	cual
que	que	había
ahora	ahora	sin
~,	~,	problema.
[A-Inn]	[A-Inn]	Al
~.	~.	entrar
[LT-Rct:	[LT-Rct:	en
		Al			Al	Moradeja,
entrar	entrar	lo
en	en	primero
Moraleja	Moraleja	que
~,	~,	se
lo	lo	ve,
primero	primero	es
que	que	el
se	se	paro
ve	ve	2
es	es	de...
el	el	Y
parador	parador	un
de	de	poquito
		más
Anonimizado	Anonimizado	arriba
		en
y	y	la
un	un	Cuebla
poquito	poquito	Nacional,
más	más	para
arriba	arriba	los
~,	~,	señores
la	la	maestros,
escuela	escuela	para
nacional	nacional	los
pa	pa	niños
los	los	en
señores	señores	lugar.
maestros	maestros	Un
~,	~,	poquito
pa	pa	más
los	los	arriba,
niños	niños	el
educados	educados	baile
~.	~.	de
Un	Un	la
poquito	poquito	Lucina
más	más	parece
arriba	arriba	una
~,	~,	primavera
es	es	que
el	el	va
baile	baile	irlando
la	la	juntos,
Lucilla	Lucilla	hacemos
~,	~,	ramilletes
parece	parece	de
una	una	la
primavera	primavera	Lucina,
~,	~,	hoy
que	que	mucho,
bailando	bailando	pero
juntos	juntos	lo
somos	semos	que
ramilletes	ramilletes	tiene
de	de	que
azucenas	azucenas	es
~.	~.	supo
		]			]	es
Oy	Oy	la
~,	~,	repalante
mucho	mucho	y
~,	~,	ya......pues
Pero	Pero	muchas
que	que	cosas.
tiene	tiene	Yo
~,	~,	tengo
pues	pues	más
eso	eso	memoria
~,	~,	que
que	que	mi
era	era	hermana
de	de	y
pa	pa	hermana
adelante	alante	no......por
~,	~,	eso
pa	pa	te
~…	~…	pongo
pa	pa	aquí,
muchas	muchas	porque
cosas	cosas	le
~.	~.	dijera
Yo	Yo	muchas
tengo	tengo
más	más
memoria	memoria
que	que
mi	mi
hermana	hermana
~.	~.
Mi	Mi
hermana	hermana
no	no
~…	~…
Por	Por
eso	eso
te	te
mandó	mandó
~…	~…
[HS:E1	[HS:E1
		No			No
~,	~,
no	no
se	se
acordaba	acordaba
~.	~.
		]			]
Por	Por
eso	eso
te	te
mandó	mandó
aquí	aquí
~.	~.
Porque	Porque
~,	~,
[HS:E1	[HS:E1
		Sí			Sí
~.	~.
		]			]
porque	porque
les	les
dijera	dijera
muchas	muchas
cosas	cosas
~,	~,
sí	sí
~.	~.
