estandar	dialectal	whisper
Pues	Pues	conjoamos
jugábamos	jugábamos	a
al	al	mí
[A-PIn:	[A-PIn:	que
		mique			mique	con
		]			]	la
~,	~,	piedra
que	que	a
era	era	la
el	el	patacoja
chute	chute	saltamos
con	con	a
la	la	la
piedra	piedra	conba
a	a	en
la	la	esta
pata	pata	forma
coja	coja	las
~,	~,	8
saltábamos	saltábamos	estábamos
a	a	acostado
la	la	ya
comba	comba	y
~…	~…	acá
~;	~;	lo
de	de	sonlo
toas	toas	de
formas	formas	San
~,	~,	San
a	a	y
las	las	acá
ocho	ocho	lo
estábamos	estábamos	otro
acostaos	acostaos	aquí
ya	ya	la
~,	~,	tenemos
¿~	¿~	calor
eh	eh	porque
~?	~?	estábamos
Porque	Porque	en
a	a	la
nosotros	nosotros	careta
no	no	y
nos	nos	ahora
dejaban	dejaban	lo
salir	salir	pasamos
~.	~.
[HS:E	[HS:E
		Hacía			Hacía
calor	calor
en	en
verano	verano
~.	~.
		]			]
Aquí	Aquí
hacía	hacía
más	más
calor	calor
porque	porque
estábamos	estábamos
en	en
La_Cabeza	La_Cabeza
~,	~,
[HS:E	[HS:E
		Ah			Ah
~,	~,
claro	claro
~.	~.
		]			]
nosotros	nosotros
no	no
pasábamos	pasábamos
calor	calor
~.	~.
