estandar	dialectal	whisper
los	los	porque
compran	compran	además
a	a	tú�la
lo	lo	a
mejor	mejor	lo
~…	~…	mejor...
dentro	dentro	a
de	de	los
~…	~…	submission.
en	en	Vemos
~,	~,	que
en	en	bendal
abril	abril	chopping.
o	o	Me
en	en	lo
mayo	mayo	siento...
van	van	filmaron
a	a	mientras
comprarlos	comprarlos	el
y	y	scorch
los	los	wow
tienen	tienen	noparents.
ya	ya	¡Bememos
~…	~…	onze
compraos	compraos	auntas!...
pa	pa	en
~…	~…	el
~,	~,	하루
pa'l	pa'l	de
mes	mes	la
~,	~,	Agradeño....
pa	pa	me
septiembre	septiembre	parece
 	 	que
 	 	haze...,
 	 	nosotros
 	 	quieren,
 	 	estaban
 	 	en
 	 	tacklom...
 	 	si
 	 	el
 	 	horario
 	 	antes
 	 	se
 	 	regeneró...
 	 	就ando,
 	 	entonces
 	 	pronto
 	 	muchas
 	 	veces,
 	 	estamos
 	 	strategy
 	 	on
 	 	the
 	 	marked
 	 	sanidad...
 	 	eso
 	 	y
 	 	ahora
 	 	Lucas,
 	 	¿?'
