estandar	dialectal	whisper
Claro	Claro	Claro,
~.	~.	la
La	La	que
que	que	no.
no	no	Es
~…	~…	mucho
~,	~,	cantidad
si	si	porque
es	es	hay
mucha	mucha	cuadros
cantidad	cantidá	que
~,	~,	vamos
porque	porque	a
hay	hay	hacer.
guarros	guarros	En
que	que	la
dan	dan	vercela,
mucha	mucha	mira,
sangre	sangre	en
~.	~.	la
[R-Vnt]	[R-Vnt]	vercela
[HS:I2	[HS:I2	también
		[A-Nul]			[A-Nul]	que
bercera	bercera	lo
~,	~,	llamamos
¿~	¿~	en
no	no	otro
~?	~?	vercela.
		]			]	Porque
Ah	Ah	el
~,	~,	repollo
en	en	coció
la	la	y
bercera	bercera	se
~.	~.	volye.
Mire	Mire	El
usted	usted	repollo
~,	~,	es
en	en	repollo
la	la	coció
bercera	bercera	y
~,	~,	luego
también	también	se
que	que	río
lo	lo	y
llamamos	llamamos	molyó
nosotros	nosotros	también.
bercera	bercera	Y
~,	~,	ahí
porque	porque	pues
es	es	he
que	que	hecho
es	es	una
repollo	repollo	poquito
cocido	cocío	de
~,	~,	sangre,
y	y	pero
cebolla	cebolla	se
~.	~.	he
Cebolla	Cebolla	hecho
y	y	hasta
repollo	repollo	esa
~…	~…	pecha.
cocío	cocío	En
~,	~,	la
y	y	vercela
luego	luego	le
escurrido	escurrío	echó,
y	y	peveguí
molío	molío	y
también	también	herba
~.	~.	buena,
Y	Y	hajo,
ahí	ahí	pimienta
pues	pues	y
se	se	ya
echa	echa	todos
una	una	los
poquita	poquita	hechas
sangre	sangre	no
~,	~,	se
pero	pero	amorció.
se	se	Y
echa	echa	eso
toa	toa	se
esa	esa	come,
especia	especia	esa
~.	~.	secha
Se	Se	la
~,	~,	sangre
en	en	que
la	la	el
bercera	bercera	cantiguamente
se	se	era
echa	echa	para
perejí	perejí	cocido,
~,	~,	se
hierbabuena	hierbabuena	cocía
~,	~,	para
ajo	ajo	fech
~,	~,	y
pimienta	pimienta	se
y	y	echaba
sa	sa	y
~.	~.	con
[HS:I2	[HS:I2	la
		Y			Y	sangre
sal	sal	los
~.	~.	lezates.
		]			]	Y
To	To	más
eso	eso	sangre
se	se	se
echa	echa	deshace
en	en	la
esa	esa	marcilla
morcilla	morcilla	y
~.	~.	la
Y	Y	sangre
esa	esa	la
se	se	une
come	come	y
~|	~|	no
esa	esa	se
se	se	deshace.
echa	echa	Y
la	la	se
sangre	sangre	cuece
~,	~,	aparte,
porque	porque	justo
antiguamente	antiguamente	ahora,
era	era	a
pan	pan	la
cocido	cocido	moldemos
~.	~.	un
Se	Se	poquito
cocía	cocía	sobre
aparte	aparte	el
~,	~,	herba.
y	y	La
se	se	coció
echaba	echaba	en
y	y	un
~,	~,	cocido
con	con	aparte,
la	la	la
sangre	sangre	saca
no	no	tan
se	se	enterita,
deshace	deshace	la
~;	~;	hecha
sin	sin	en
la	la	el
sangre	sangre	cocido
~,	~,	y
pues	pues	ahora
se	se	un
deshace	deshace	cocido
la	la	buenísimo.
morcilla	morcilla	Secha
~.	~.	en
Y	Y	el
la	la	cocido
sangre	sangre	en
la	la	la
une	une	garbana,
~,	~,	esta
y	y	narra
no	no	en
se	se	calo,
deshace	deshace	reflejado
~,	~,	con
y	y	agua
se	se	caliente.
cuece	cuece	Y
aparte	aparte	luego
~.	~.	se
Nosotros	Nosotros	la
ahora	ahora	van
la	la	bien,
envolvemos	envolvemos	la
en	en	va
poquito	poquito	por
papel	papel	la
de	de	mañana
albal	albá	con
~,	~,	agua
la	la	caliente,
cocemos	cocemos	gelos
~…	~…	hechas
en	en	y
un	un	hecha
cacito	cacito	un
aparte	aparte	cachito
~.	~.	tocino.
La	La	El
sacas	sacas	cerro,
tan	tan	el
enterita	enterita	cero,
~,	~,	un
la	la	cero
echas	echas	muy
en	en	buen,
el	el	un
cocido	cocido	cachito
y	y	tocino,
~,	~,	una
hala	hala	pata
~,	~,	de
y	y	cerdo,
un	un	un
cocido	cocido	cachito
buenísimo	buenísimo	cotidia,
~.	~.	un
Se	Se	cachito
echa	echa	de
~…	~…	carne
en	en	de
el	el	borrero.
cocido	cocido	Lo
los	los	que
garbanzos	garbanzos	te
~,	~,	gusta
se	se	es
echan	echan	que
a	a	si
~…	~…	lo
en	en	hace
caldo	calo	un
~,	~,	caldo
refregados	refregaos	muy
con	con	bueno,
agua	agua	aparte
y	y	un
sa	sa	poquito
~,	~,	caldo,
con	con	al
agua	agua	otro
caliente	caliente	día
~.	~.	tengo
Luego	Luego	la
~,	~,	sopita
se	se	del
lavan	lavan	video
bien	bien	y
lavaos	lavaos	vamos
por	por	a
la	la	variar
mañana	mañana	los
con	con	platos.
agua	agua	Y
caliente	caliente	con
~,	~,	el
se	se	cerro
los	los	se
echas	echas	hace
~,	~,	muchas
y	y	cosas
echas	echas	y
un	un	es
cachito	cachito	una
tocino	tocino	cosa
del	del	muy
cer-	cer-	buena
~,	~,	para
cerdo	cerdo	la
~.	~.	casa.
Que	Que	Se
pone	pone	hace
un	un	el
caldo	caldo	salchito,
mu	mu	el
bueno	bueno	salchito
~.	~.	es
Un	Un	en
cachito	cachito	la
tocino	tocino	temagro
~,	~,	y
una	una	eso
pata	pata	viene
de	de	en
cerdo	cerdo	una
~,	~,	especie
un	un	que
cachito	cachito	se
costilla	costilla	viene
~,	~,	con,
un	un	que
cachito	cachito	se
de	de	compra,
carne	carne	eso
de	de	viene
borrego	borrego	comprado
~.	~.	y
Lo	Lo	es
que	que	a
tú	tú	peso.
quieras	quieras	Lo
echar	echá	quiero
~,	~,	de
porque	porque	carne
así	así	que
luego	luego	se
haces	haces	pese,
un	un	hecha
caldo	caldo	la
mu	mu	cantidad
bueno	bueno	de
~,	~,	eso
apartas	apartas	que
un	un	se
poquito	poquito	compra
caldo	caldo	para
~.	~.	el
Al	Al	salchito
otro	otro	porque
día	día	eso
tienes	tienes	nos
una	una	le
sopita	sopita	echa
de	de	pimenta.
fideos	fideos	Eso
~,	~,	se
y	y	hecha
~,	~,	una
vamos	amos	cosa
~,	~,	que
se	se	viene
varían	varían	comprado
los	los	y
platos	platos	especial.
y	y	¿Qué
to	to	querías
eso	eso	que
se	se	se
hace	hace	pregunten?
~.	~.	¿Qué
Se	Se	querías
hacen	hacen	que
muchas	muchas	se
cosas	cosas	pregunten?
con	con	¿Qué
~…	~…	querías?
con	con	¿Qué
el	el	querías?
cerdo	cerdo	¿Qué
se	se	querías?
hacen	hacen	¿Qué
muchas	muchas
cosas	cosas
~.	~.
Y	Y
es	es
una	una
cosa	cosa
mu	mu
buena	buena
pa	pa
las	las
casas	casas
~,	~,
porque	porque
se	se
hace	hace
salchichón	salchichón
~.	~.
El	El
salchichón	salchichón
es	es
más	más
que	que
magro	magro
~,	~,
y	y
eso	eso
viene	viene
una	una
especie	especie
que	que
se	se
viene	viene
~,	~,
con	con
~…	~…
que	que
se	se
compra	compra
~.	~.
Eso	Eso
viene	viene
comprao	comprao
~,	~,
y	y
es	es
a	a
peso	peso
~.	~.
Los	Los
kilos	kilos
de	de
carne	carne
que	que
se	se
pese	pese
~,	~,
echas	echas
la	la
cantidá	cantidá
de	de
~,	~,
de	de
eso	eso
que	que
se	se
compra	compra
pa'l	pa'l
salchichón	salchichón
~,	~,
porque	porque
eso	eso
no	no
se	se
echa	echa
pimienta	pimienta
~.	~.
Eso	Eso
se	se
echa	echa
una	una
cosa	cosa
que	que
viene	viene
comprada	comprá
pa	pa
ello	ello
~,	~,
especial	especiá
~.	~.
No	No
qué	qué
os	sos
explico	explico
~,	~,
¿~	¿~
qué	qué
queréis	queréis
más	más
que	que
os	os
explique	explique
~?	~?
¿~	¿~
Dulces	Dulces
~?	~?
