estandar	dialectal	whisper
Pos	Pos	Fonsiquititas,
asín	asín	se
~…	~…	coge,
son	son	tan
chiquititas	chiquititas	negritas,
~,	~,	se
se	se	coge,
coge	coge	y
~,	~,	en
están	están	casar
negritas	negritas	se
~,	~,	hará
negritas	negritas	loco
~,	~,	y
[HS:E1	[HS:E1	tiene
		[Asent]			[Asent]	un
~.	~.	formado
		]			]	buena.
se	se	Mami
cogen	cogen
~…	~…
Y	Y
venga	venga
a	a
echarse	echarse
a	a
la	la
boca	boca
y	y
~,	~,
y	y
~,	~,
y	y
tienen	tienen
~|	~|
son	son
más	más
buenas	buenas
~.	~.
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
Yo	Yo
esas	esas
hace	hace
que	que
no	no
las	las
veo	veo
~,	~,
yo	yo
qué	qué
sé	sé
~…	~…
[RISA]	[RISA]
