estandar	dialectal	whisper
Aquí	Aquí	Aquí
no	no	nosotros
~,	~,	no
nosotros	nosotros	veníamos
nos	nos	aquí,
veníamos	veníamos	veníamos
~,	~,	y
aquí	aquí	vamos
veníamos	veníamos	a
~|	~|	Vizamartima,
íbamos	íbamos	pero
a	a	no
Villamartín	Villamartín	había
más	más	baile,
~,	~,	¿no?
pero	pero	Solo
no	no	cuando
había	había	las
baile	baile	fiestas
~,	~,	van
ni	ni	a
na	na	ir
~.	~.	antes
[HS:E3	[HS:E3	de
		Solo			Solo	ir.
cuando	cuando	En
las	las	la
fiestas	fiestas	Feria
[R-Mcr]	[R-Mcr]	de
[A-Inn]	[A-Inn]	Maz,
se	se	en
iban	iban	la
desde	desde	Feria
~…	~…	de
		]			]	Cetiembre,
En	En	en
las	las	la
ferias	ferias	Romería
de	de	de
mayo	mayo	la
~,	~,	Montaña
la	la	de
feria	feria	Vizamartima,
de	de	en
setiembre	setiembre	la
~,	~,	Mugenita,
la	la	dos
romería	romería	y
de	de	vamos
la	la	todo
montaña	montaña	año.
de	de	Sobre
Villamartín	Villamartín	la
~,	~,	mentiraapsol,
que	que	ya
también	también	sé
es	es	pero
mu	mu	es
bonita	bonita	no
~,	~,	un
eso	eso	poco
sí	sí	de
íbamos	íbamos
todos	todos
los	los
años	años
~.	~.
