estandar	dialectal	whisper
Y	Y	Y
~,	~,	la
¿~	¿~	gente
la	la	utilizaba
gente	gente	arren
utilizaba	utilizaba	medios,
remedios	remedios	poscaseros,
[OTRAS-EM]	[OTRAS-EM]	que
pues	pues	arren
caseros	caseros	medios
~?	~?	utilizaban
[HS:I1	[HS:I1	para
		¿~			¿~	heridas,
El	El	para
qué	qué	inflamaciones,
~?	~?	para
		]			]	resulados,
¿~	¿~
Qué	Qué
remedios	remedios
utilizaban	utilizaban
pues	pues
para	para
heridas	heridas
~,	~,
para	para
inflamaciones	inflamaciones
~…	~…
~,	~,
[OTRAS-EM]	[OTRAS-EM]
para	para
resfriados	resfriados
~?	~?
¿~	¿~
Había	Había
~…	~…
~?	~?
