estandar	dialectal	whisper
Y	Y	En
ya	ya	fin
dieron	dieron	y
beca	beca	haz
también	también	bien
~,	~,	un
la	la	bike,
beca	beca	también.
~…	~…	En
[HS:I2	[HS:I2	la
		Ayudas			Ayudas	baza.
~.	~.	En
		]			]	la
Porque	Porque	baza.
claro	claro	O
~,	~,	que,
yo	yo	pero
[A-PIn:	[A-PIn:	yo
		decía			decía	me
		]			]	hacía
estudiar	estudiá	el
~,	~,	estudio
estudiar	estudiá	de
porque	porque	la
tos	tos	estudia
tenían	tenían	porque
su	su	todos
beca	beca	tenían
~.	~.	tu
[HS:E1	[HS:E1	huella.
		[Asent]			[Asent]	Y
~.	~.	antes
		]			]	no
[HS:I2	[HS:I2	había
		Y			Y	posibilidad.
antes	antes	Pero,
no	no	entre
había	había	la
posibilidades	posibilidades	daba,
~.	~.	porque
		]			]	ahora
Te	Te	es
la	la	bueno
daban	daban	estudiando
porque	porque	y
eran	eran	te
bueno	bueno	acaban
estudiando	estudiando	los......pues
y	y	todos
sacaban	sacaban	irmanante
los	los	y
~…	~…	todos
~,	~,	traeron
los	los	tu
estudios	estudios
pa	pa
alante	alante
y	y
~…	~…
~,	~,
y	y
tos	tos
tuvieron	tuvieron
su	su
beca	beca
~.	~.
