estandar	dialectal	whisper
El	El	el
instituto	instituto	instituto,
~,	~,	pero
pero	pero	después
después	después	de
ya	ya	saber
sabes	sabes	pagado
pagao	pagao	todos
~…	~…	los
[HS:E2	[HS:E2	años,
		[Asent]			[Asent]	había
~.	~.	que
		]			]	pagar
todos	todos	la
los	los	renta,
años	años	en
había	había	un
que	que	momento
pagar	pagar	en
las	las	que
rentas	rentas	yo
~,	~,	tiempo
[OTRAS-EM]	[OTRAS-EM]	no
hombre	hombre	te
~,	~,	veais
que	que	decir
en	en	que
aquellos	aquellos	como
tiempos	tiempos	ahora,
~,	~,	entonces
no	no	la
te	te	renta
voy	voy	era
a	a	mejor,
decir	decí	te
que	que	voy
es	es	a
como	como	decir,
ahora	ahora	cinco
~,	~,	mil
[OTRAS-EM]	[OTRAS-EM]	veces,
entonces	entonces	tampoco
las	las	me,
rentas	rentas	cinco
~…	~…	mil
[A-Inn]	[A-Inn]	veces
era	era	de
a	a	alaño,
lo	lo	por
mejor	mejor	la
~…	~…	casa
te	te	tanto
voy	voy	tenía
a	a	cada
decir	decí	causa
~…	~…	de
~,	~,	mi
do-	do-	su
~,	~,	precio
cinco_mil	cinco_mil	y
pesetas	pesetas	es
~,	~,	un
un	un	poco
poner	poné	poquito
~,	~,	poco
cinco_mil	cinco_mil	poquito
pesetas	pesetas	poco
al	al	poco,
año	año	o
~,	~,	sea,
pos	pos	tampoco
~…	~…	tiempo
la	la	que
casa	casa	me
tanto	tanto	nos
~,	~,	dieron
tenía	tenía	otra
cada	cada	altura,
casa	casa	una
tenía	tenía	faixa,
su	su	para
precio	precio	que
~,	~,	me
y	y	lo
decían	decían	terminaron
po-	po-	de
~,	~,	verdad,
poquito	poquito	mujer,
a	a	solamente
poco	poco	tenga
~,	~,	más
poquito	poquito	gente
a	a	de
poco	poco	tu,
~,	~,	que
poquito	poquito	se
a	a	pri니까
poco	poco
~…	~…
hasta	hasta
hace	hace
poco	poco
tiempo	tiempo
que	que
[OTRAS-EM]	[OTRAS-EM]
nos	nos
dieron	dieron
a	a
nosotros	nosotros
la	la
escritura	escritura
~,	~,
pa	pa
ahí	ahí
está	está
~,	~,
la	la
te-	te-
~,	~,
lo	lo
terminaron	terminaron
de	de
pagar	pagá
~,	~,
pos	pos
imagínate	imagínate
tú	tú
si	si
se	se
pagaría	pagaría
poquito	poquito
a	a
poco	poco
~.	~.
