estandar	dialectal	whisper
Pues	Pues	Ay,
clueca	clueca	tú
~,	~,	no
clueca	clueca	sabías
~,	~,	lo
sí	sí	que
~.	~.	por
[HS:E1	[HS:E1	ins
		Aquí			Aquí	life
~,	~,	que
aquí	aquí	se
lo	lo	pone
llaman	llaman	para,
[L-Otra:	[L-Otra:	tá
		lloca			lloca	chicas.
		]			]	Que
~.	~.	se
		]			]	pone
Clueca	Clueca	para
~,	~,	ni
se	se	a
pone	pone	cadaanda
clueca	clueca	esta
~,	~,	nula
la	la	y
gallina	gallina	¡t
se	se	lo
pone	pone	voy
clueca	clueca	amakeУ¡!
y	y	No
~,	~,	Greenyst
y	y	выгляд種
ya	ya	emoji,
es	es	bueno
para	para	claro.
echarla	echarla	No
pollos	pollos	ed
~.	~.	approach.
[HS:E1	[HS:E1	No
		[Asent]			[Asent]	los
~.	~.	piggy
		]			]	blockchain.
La	La	No,
echas	echas	la
pollos	pollos	se
~,	~,	esptail.
pero	pero	Sí.
tienes	tienes	No
que	que	processed.
tener	tener	En
gallo	gallo	hechas
~,	~,	y
porque	porque	a
si	si	las
no	no	21
eso	eso	días
~…	~…	saca
ya	ya	polios.
sabes	sabes	Y
tú	tú	esos
~.	~.	polios
Si	Si	pues
no	no	crees.
tienes	tienes	Tú
gallo	gallo	les
~,	~,	das
pues	pues	miga
no	no	y
~,	~,	tan
los	los	raíz
pollos	pollos	trigo.
no	no	O
salen	salen	pienso
~.	~.	compuesto
[HS:E1	[HS:E1	también
		[Asent]			[Asent]	piso
~.	~.	comprar.
		]			]	Y
La	La	vamos
echas	echas	a
~,	~,	un
saca	saca	gran
pollos	pollos	duque,
~.	~.	porque
[HS:E1	[HS:E1	hoy
		[Asent]			[Asent]	se
~.	~.	ha
		]			]	salido
Y	Y	a
esos	esos	la
pollos	pollos	calle,
pues	pues	y
les	les	por
crías	crías	eso
~,	~,	las
les	les	salinas.
das	das	Y
miga	miga	se
y	y	nos
pan	pan	salen
~,	~,	pollo,
[HS:E1	[HS:E1	estos
		[Asent]			[Asent]	polios,
~.	~.	con
		]			]	eso
eso	eso	un
y	y	gran
trigo	trigo
~,	~,
o	o
pienso	pienso
compuesto	compuesto
~,	~,
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
también	también
pienso	pienso
comprao	comprao
~.	~.
Y	Y
pones	pones
un	un
gran	gran
cuco	cuco
y	y
ya	ya
~,	~,
oye	oye
~,	~,
salen	salen
a	a
la	la
ca-	ca-
~,	~,
salen	salen
a	a
la	la
calle	calle
~,	~,
con	con
las	las
demás	demás
gallinas	gallinas
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
y	y
unos	unos
salen	salen
pollos	pollos
~,	~,
otros	otros
pollas	pollas
~,	~,
y	y
cuando	cuando
son	son
grandes	grandes
~,	~,
los	los
pollos	pollos
los	los
comes	comes
y	y
las	las
pollas	pollas
pa	pa
~,	~,
pa	pa
gallinas	gallinas
~.	~.
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
Eso	Eso
es	es
~.	~.
