estandar	dialectal	whisper
Y	Y	y
ya	ya	a
se	se	se
barre	barre	barre.
~,	~,	El
[HS:I1	[HS:I1	rellas
		Se			Se	se
barre	barre	barra
~.	~.	con
		]			]	los
ya	ya	celichos
se	se	a
barre	barre	todos,
con	con	a
unos	unos	un
helechos	helechos	trapo,
ataos	ataos	a
a	a	un
un	un	palo,
trapo	trapo	y
~,	~,	se
a	a	lo
un	un	he
palo	palo	mojado.
y	y	El
mojao	mojao	mojado,
~,	~,	sale
y	y	y
sales	sales	moja,
y	y	sin
mojas	mojas	gol
~,	~,	y
y	y	sin
vuelves	vuelves	moja,
y	y	sin
mojas	mojas	moja,
y	y	sin
así	así	moja,
[A-Inn]	[A-Inn]	sin
~.	~.	gol
[RISA]	[RISA]	y
Y	Y	de
después	después	otra
se	se	vez.
barre	barre	Tres
bien	bien	congratulatees
y	y	y
ya	ya	se
luego	luego	merece
se	se	y
metía	metía	luce
el	el
pan	pan
~.	~.
