estandar	dialectal	whisper
No	No	No
se	se	se
puede	puede	puede
tirar	tirar	tirar
un	un	un
tiro	tiru	tiro
ni	ni	y
matar	matar	matar
un	un	un
lobo	lobo	lobo,
~.	~.	te
[OTRAS-EM]	[OTRAS-EM]	coge
Te	Te	ni
~,	~,	camuntan.
te	te	Te
cogen	cogen	cojo
y	y	en
te	te	matando
multan	multan	una
~.	~.	pieza
Te	Te	muy
cogen	cogen	lóvbo,
matando	matando	un
una	una	curso
pieza	pieza	por
~,	~,	cualquier
un	un	cosa
lobo	lobo	de
~,	~,	eso.
te	te	Mira
~|	~|	el
o	o	curso,
un	un	el
corzo	corzo	que
~,	~,	nos
cualquier	cualquier	bañoa.
cosa	cosa	Se
de	de	está
eso	eso	enviando
~.	~.	por
Mira	Mira	aquí,
~,	~,	bajamos.
el	el	En
corzo	corzo	un
es	es	vierno
el	el	y
~,	~,	ahora
el	el	lo
que	que	sale,
menos	menos	los
daño	daño	doy
hace	hace	a
~.	~.	un
Se	Se	par
están	están	a
viendo	viendo	dos
por	por	tres
aquí	aquí	cosas.
~,	~,	¿Qué
[A-PIn:	[A-PIn:	maten,
		¿~			¿~	curso?
más	más	Te
		cojo
o	o	en
no	no	Telugu,
~?	~?	en
		]			]	el
En	En	que
invierno	invierno	no
y	y	tiene
ahora	ahora	la
los	los	carta.
hay	hay	No,
~.	~.	no,
El	El	no,
otro	otro	no,
día	día	no
ahí	ahí	pasa
en	en	un
el	el
prao	prao
había	había
dos	dos
o	o
tres	tres
corzos	corzos
~.	~.
¿~	¿~
Quién	Quién
mata	mata
un	un
corzo	corzo
~?	~?
Te	Te
cogen	cogen
~,	~,
te	te
lo	lo
averiguan	averiguan
~,	~,
eh	eh
~,	~,
te	te
meten	meten
en	en
la	la
cárcel	cárcel
~.	~.
Como	Como
[A-Inn]	[A-Inn]
~,	~,
matas	matas
a	a
un	un
hombre	hombre
~,	~,
[A-Inn]	[A-Inn]
~.	~.
