estandar	dialectal	whisper
Sí	Sí	Si
~,	~,	van
van	van	a...
a	a	luego
~…	~…	los
~,	~,	cambian,
luego	luego	no
los	los	sé,
cambian	cambían	a
~,	~,	que
no	no	iba
sé	sé	yendo
~,	~,	a
aquí	aquí	vivir
riba	riba	a
~,	~,	medio
yendo	yendo	camino,
a	a	han
Viver	Viver	hecho
~.	~.	una
A	A	escuela
medio	medio	aparte
camino	camino	que
han	han	llevaban
hecho	hecho	los
una	una	chicos
escuela	escuela	y
aparte	aparte	las
~,	~,	chicas
que	que	pero
~…	~…	ya
~,	~,	van
que	que	a
van	van	estudiar
los	los	otra
chicos	chicos	cosa
y	y	y
las	las	luego
chicas	chicas	hay
~,	~,	muchos
pero	pero	que
ya	ya	se
van	van	van
a	a	a
estudiar	estudiar	estudiar
otra	otra	fuera.
cosa	cosa	Ahora
~.	~.	ya
Y	Y	esos
luego	luego	días
hay	hay	estudiar
muchos	muchos	que
que	que	entonces
se	se	no
van	van	hiban
a	a	a
estudiar	estudiar	diez.
fuera	fuera	La
~.	~.	que
Ahora	Ahora	ganaba
ya	ya	ahora
~,	~,	van
eso	eso	a
de	de	estudiar
ir	ir	esto
a	a
estudiar	estudiar
e-	e-
~,	~,
que	que
entonces	entonces
no	no
iba	iba
nadie	nadie
~.	~.
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
todas	toas
las	las
chicas	chicas
nada	nada
~,	~,
ahora	ahora
van	van
chicas	chicas
y	y
to	to
ya	ya
~.	~.
Sí	Sí
~,	~,
sí	sí
~.	~.
