estandar	dialectal	whisper
Las	Las	Los
[HS:I2	[HS:I2	mujer
		[A-Inn]			[A-Inn]	y
		]			]	los
mujeres	mujeres	rombles
y	y	estaban
los	los	cerca
hombres	hombres	y
~.	~.	vas
Si	Si	andando.
estaban	estaban	Y
cerca	cerca	estaban
~,	~,	sitio
ibas	ibas	lejos,
andando	andando	había
y	y	unos
estaba	estaba	cacharros
un	un	que
sitio	sitio	llamaban
lejos	lejos	cantareras
había	había	y
unos	unos	metían
cacharros	cacharros	los
que	que	cantarores
llamaban	llamaban	dentro
cantareras	cantareras	y
[HS:E1	[HS:E1	yabas
		[Asent]			[Asent]	con
~.	~.	el
		]			]	macho.
y	y	Y
metías	metías	llegabas
los	los	allí
cántaros	cántaros	y
dentro	dentro	no
y	y	llenabas
ibas	ibas	y
con	con	no
el	el	metían
macho	macho	las
[HS:I2	[HS:I2	cantareras
		Entonces			Entonces	aquellas
[A-Inn]	[A-Inn]	que
		]			]	eran
y	y	como
~,	~,	un
y	y	sexto
llegabas	llegabas	así,
allí	allí	que
~,	~,	había
lo	lo	dos
llenabas	llenabas	por
y	y	cada
los	los	lado.
metían	metían	Vieron
en	en	por
las	las	encima
cantareras	cantareras	del
aquellas	aquellas	baste
que	que	del
~,	~,	macho
que	que	y
eran	eran	metían
co-	co-	dos
~,	~,	cantaros
como	como	a
un	un	cada
cesto	cesto	lado
así	así	y
que	que	lo
había	había	llevaba
dos	dos	al
por	por	macho
cada	cada	a
lao	lao
~.	~.
Iban	Iban
por	por
de	de
encima	encima
del	del
~,	~,
del	del
baste	baste
del	del
macho	macho
y	y
~,	~,
y	y
metías	metías
dos	dos
cántaros	cántaros
a	a
cada	cada
lao	lao
y	y
los	los
llevaba	llevaba
el	el
macho	macho
a	a
casa	casa
~.	~.
[R-Vhc]	[R-Vhc]
