estandar	dialectal	whisper
Aquí	Aquí	Aquí
antes	antes	antes,
~,	~,	así
así	así	como
como	como	ahora,
ahora	ahora	han
han	han	hecho
hecho	hecho	un
un	un	montón
montón	montón	de
de	de	casas
casas	casas	nuevas
nuevas	nuevas	y
y	y	de
de	de	todo
todo	todo	eso
eso	eso	había
~,	~,	pocas
habían	habían	obras,
pocas	pocas	no
obras	obras	habían
~,	~,	eran
no	no	casas
habían	habían	antiguas
~…	~…	viejas
Eran	Eran	y
casas	casas	seguían
antiguas	antiguas	siendo
~,	~,	ahora
viejas	viejas	hay
y	y	muchas
seguían	seguían	casas
siendo	siendo	nuevas
~.	~.	que
Ahora	Ahora	son,
hay	hay	por
muchas	muchas	igual
casas	casas	que
nuevas	nuevas	en
que	que	todos
son	son	hemos
~,	~,	hecho
pues	pues
igual	igual
que	que
~,	~,
que	que
en	en
todos	tos
los	los
pueblos	pueblos
y	y
~,	~,
y	y
en	en
todos	tos
los	los
sitios	sitios
~.	~.
