estandar	dialectal	whisper
No	No	la
~,	~,	carne
la	la	sinéchale
carne	carne	sal,
sin	sin	se
echarle	echale	corrompe,
sal	sal	pero
se	se	la
corrompe	corrompe	hacía
~,	~,	en
[HS:E	[HS:E	bolasmosca,
		¿~			¿~	no,
Lo	Lo	no,
hacían	hacían	no,
por	por	no,
las	las	no,
moscas	moscas	por
~?	~?	lo
		]			]	que
se	se	no,
pone	pone	mira,
mal	mal	lo
~.	~.	jamón
No	No	es
~,	~,	que
no	no	era
~,	~,	los
no	no	que
~,	~,	salábamos,
ni	ni	los
por	por	suceso
moscas	moscas	y
ni	ni	abábamos
na	na	alan
~.	~.	pues
Mira	Mira	en
~,	~,	un
los	los	cajón
jamones	jamones	poníamos
que	que	una
eran	eran	tanda
los	los	de
que	que	sal
salábamos	salábamos	en
~,	~,	el
nosotros	nosotros	suelo
llamamos	llamamos	de
salarlos	salalos	cajón,
~,	~,	ya
pues	pues	no
en	en	mató
un	un	Nina,
cajón	cajón	estamos
poníamos	poníamos	en
una	una	el
tanda	tanda	matrimonio,
de	de	en
sal	sal	el
en	en	suelo
el	el	más
suelo	suelo	que
del	del	no
cajón	cajón	queremos
~.	~.	y
Ya	Ya	él
no	no	no
mato	mato	puede
ni	ni	comer
na	na	ve
~,	~,	especies,
estamos	estamos	en
el	el	el
matrimonio	matrimonio	suelo
solos	solos	de
y	y	cajón
~,	~,	echábamos
[HS:E2	[HS:E2	una
		Ya			Ya	tanda
no	no	de
~.	~.	sal
		]			]	luego
¿~	¿~	colocamos
pa	pa	unas
qué	qué	piezas
lo	lo	del
queremos	queremos	cerdo,
~?	~?	si
Y	Y	cogían
él	él	cuatro
no	no	en
puede	puede	el
comer	comer	cajón
especies	especies	que
~.	~.	era
En	En	grande,
el	el	las
suelo	suelo	cuatro
del	del	piezas
cajón	cajón	por
echábamos	echábamos	las
una	una	cuatro,
tanda	tanda	que
de	de	no
sal	sal	cogían
~,	~,	nada
luego	luego	más
colocábamos	colocábamos	que
las	las	dos,
piezas	piezas	pues
del	del	se
cerdo	cerdo	le
~.	~.	echaba
Si	Si	el
cogían	cogían	sal
cuatro	cuatro	encima
en	en	hasta
el	el	que
cajón	cajón	se
que	que	cubrian
era	era	del
grande	grande	toque
~,	~,	y
las	las	se
cuatro	cuatro	podían
piezas	piezas	las
~,	~,	otra
pues	pues	dos,
las	las	se
cuatro	cuatro	cubrian
~.	~.	del
Que	Que
no	no
cogían	cogían
na	na
más	más
que	que
dos	dos
~,	~,
pues	pues
se	se
les	les
volvía	volvía
a	a
echar	echar
la	la
sal	sal
encima	encima
hasta	hasta
que	que
se	se
cubrían	cubrían
del	del
to	to
y	y
se	se
ponían	ponían
las	las
otras	otras
dos	dos
~,	~,
y	y
se	se
cubrían	cubrían
del	del
to	to
de	de
sal	sal
~.	~.
