estandar	dialectal	whisper
Yo	Yo	Yo
no	no	no
me	me	me
acuerdo	acuerdo	acuerdo
cómo	cómo	cómo
fue	fue	fue
la	la	la
entrega	entrega	entrega,
~.	~.	pero
Pero	Pero	yo
yo	yo	la
la	la	entrega
entregué	entregué	y
~,	~,	me
y	y	dio
me	me	belguesa
dio	dio	y
vergüenza	vergüenza	me
y	y	salió.
me	me	A
salí	salí	fuera
otra	otra	ya
vez	vez	lo
a	a	tomó
~…	~…	menos.
afuera	afuera	Y
~.	~.	a
[RISAS]	[RISAS]	los
[HS:E1	[HS:E1	dos
		Pero			Pero	o
por	por	tres
lo	lo	días
menos	menos	ya
~…	~…	salió
		]			]	esta,
Y	Y	había
a	a	una
los	los	frutaría
dos	dos	ahí
~,	~,	en
y	y	la
a	a	China,
los	los	y
dos	dos	siempre
o	o	pues
tres	tres	a
días	días	las
~,	~,	horas
pues	pues	de
ya	ya	comer
salió	salió	o
esta	esta	a
que	que	las
salía	salía	horas
~,	~,	de
[HS:E1	[HS:E1	la
		Sí			Sí	tarde
~,	~,	ser,
entonces	entonces	pues
~…	~…	se
		]			]	salía
que	que	a
había	había	la
~,	~,	tonagada,
había	había	a
una	una	la
frutería	frutería	tuata,
ahí	ahí	a
en	en	su
la	la	cosas
esquina	esquina	de
esa	esa	fotos
~,	~,	y
[HS:E1	[HS:E1	tenía
		[Asent]			[Asent]	ahí
~.	~.	ya
		]			]	dos
y	y	o
siempre	siempre	tres
pues	pues	de
a	a	la
las	las
horas	horas
de	de
comer	comer
o	o
a	a
las	las
horas	horas
de	de
~,	~,
del	del
atardecer	atardecer
~,	~,
pues	pues
se	se
salían	salían
a	a
por	por
naranjas	naranjas
~,	~,
plátanos	plátanos
~…	~…
[HS:E1	[HS:E1
		Sí			Sí
~.	~.
		]			]
cosas	cosas
de	de
postre	postre
~;	~;
y	y
tenía	tenía
ella	ella
dos	dos
o	o
tres	tres
que	que
la	la
querían	querían
~.	~.
