estandar	dialectal	whisper
Antes	Antes	Antes
de	de	de
~…	~…	llegar,
Bueno	Bueno	bueno,
~,	~,	lo
lo	lo	último
último	último	que
que	que	vea,
veáis	veáis	pasando
pasando	pasando	el
el	el	campo
campo	campo	fútbol,
futbol	fúbol	ya
~,	~,	que
ya	ya	pasé
que	que	el
pasáis	pasáis	campo
el	el	fútbol,
campo	campo	y
de	de	pues
futbol	fúbol	es
y	y	una
cruzáis	cruzáis	carretera
una	una	que
carretera	carretera	salo,
que	que	ahora
sale	sale	viene
~,	~,	la
ahí	ahí	balo,
viene	viene
~…	~…
Además	Además
lo	lo
pone	pone
~.	~.
