estandar	dialectal	whisper
Pero	Pero	pero
ya	ya	ya
enrancia	enrancia	en
más	más	rancia
~.	~.	más,
[HS:E1	[HS:E1	la
		[Asent]			[Asent]	manteca
~.	~.	manteca
		]			]	son
La	La	las
manteca	manteca	mantecas
~,	~,	que
manteca	manteca	se
es	es	quitan
~|	~|	al
son	son	guardo
las	las	y
mantecas	mantecas	con
que	que	esa
se	se	manteca
le	le	se
quitan	quitan	ponen
al	al	a
guarro	guarro	ser
[HS:E1	[HS:E1	las
		[Asent]			[Asent]	mantecaos,
~.	~.	buces
		]			]	y
y	y	cosas
con	con	y
esas	esas	incluso
mantecas	mantecas	para
se	se	echarlo
pueden	pueden	también
hacer	hacer	en
los	los	la
mantecaos	mantecaos	madanza
~,	~,	la
dulces	dulces	pican
[HS:E1	[HS:E1	y
		[Asent]			[Asent]	la
~.	~.	cueza
		]			]	y
y	y	el
cosas	cosas	hilo,
~;	~;	o
y	y	sea,
incluso	incluso	o
para	para	sea,
echarlos	echarlos	la
también	también	deja
en	en	y
la	la	se
matanza	matanza	queda
~.	~.	a
[HS:E1	[HS:E1	trabar
		[Asent]			[Asent]	y
~.	~.	con
		]			]	eso
La	La	ya
pican	pican	luego
y	y	puedes
la	la	hacer
cuecen	cuecen	el
y	y	mantecaos
luego	luego	los
ya	ya
la	la
conge-	conge-
~,	~,
o	o
sea	sea
~,	~,
luego	luego
ya	ya
la	la
dejan	dejan
y	y
se	se
queda	queda
trabada	trabá
~.	~.
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
Y	Y
con	con
eso	eso
ya	ya
luego	luego
puedes	puedes
hacer	hacer
mantecaos	mantecaos
~,	~,
dulces	dulces
~…	~…
