estandar	dialectal	whisper
Segundo	Segundo	Según
domingo	domingo	todo
de	de	el
junio	junio	amigo
~.	~.	de
Es	Es	CUNIO,
muy	muy	es
bonita	bonita	muy
~.	~.	bonita.
Si	Si	Si
estáis	estáis	estáis
por	por	por
aquí	aquí	aquí
~,	~,	o
os	os	a
aconsejo	aconsejo	conozco
que	que	que
la	la	la
veáis	veáis	vea
~,	~,	hay
		que
que	que	ser
es	es	muy
[Rndo:	[Rndo:	bonita.
		muy			muy	Claro,
bonita	bonita	hasta
		]			]	junios
~.	~.	no
Claro	Claro	necesitaré
~,	~,	el
hasta	hasta	maravillero.
junio	junio
no	no
sé	sé
si	si
estaréis	estaréis
[HS:E1	[HS:E1
		No			No
~,	~,
		]			]
por	por
aquí	aquí
~…	~…
