estandar	dialectal	whisper
|T13|	|T13|	Y
Y	Y	ya
~…	~…	está,
ya	ya	es
está	está	una
~.	~.	alguna
Es	Es	vida
una	una	del
~,	~,	campo,
fue	fue	ahora
una	una	con
vida	vida	que
en	en	daste
el	el	casátelo,
campo	campo	pues
~,	~,	tenía
ahora	ahora	casi
con	con	27
		años,
Anonimizado	Anonimizado	o
		que
hablando	hablando	me
y	y	ayudó,
~…	~…	digo,
«~	«~	pero
		si
Anonimizado	Anonimizado	tenía
		23
~,	~,	cuando
¿~	¿~	me
con	con	echen
qué	qué	obvio,
edad	edá	por
te	te	ser
casaste	casaste	tu
~?	~?	que
~»	~»	me
~,	~,	he
digo	digo	visto
~:	~:	de
«~	«~	la
Pues	Pues	vida,
~…	~…	no
tenía	tenía	me
casi	casi	hubiera
vintisiete	vintisiete	saludado
años	años	también.
~»	~»	Los
~.	~.	que
«~	«~	llevó
Uy	Uy	de
~,	~,	ría,
qué	qué	los
mayor	mayó	que
~…	~…	llevó
~!	~!	de
~»	~»	ría.
~,	~,	La
digo	digo	chica,
~,	~,	la
digo	digo	chica.
~:	~:	¡Qué
«~	«~	mi
Pero	Pero	padre
		era
Anonimizado	Anonimizado	una
		persona
~,	~,	reta!
si	si
tenía	tenía
vintitrés	vintitrés
cuando	cuando
me	me
eché	eché
novio	novio
~»	~»
~.	~.
[RISAS]	[RISAS]
«~	«~
¿~	¿~
Entonces	Entonces
tú	tú
que	que
viviste	viviste
de	de
la	la
vida	vida
~?	~?
~»	~»
~,	~,
digo	digo
~:	~:
«~	«~
No	No
viví	viví
[HS:I1	[HS:I1
		Nada			Nada
~,	~,
claro	claro
~.	~.
		]			]
absolutamente	absolutamente
[HS:I1	[HS:I1
		Lo			Lo
que	que
yo	yo
os	os
decía	decía
~,	~,
lo	lo
que	que
yo	yo
os	os
decía	decía
~.	~.
Las	Las
chicas	chicas
~,	~,
las	las
chicas	chicas
~…	~…
		]			]
na	na
~»	~»
~.	~.
En	En
el	el
campo	campo
~,	~,
¿~	¿~
qué	qué
iba	iba
a	a
vivir	vivir
la	la
vida	vida
~?	~?
Y	Y
un	un
padre	padre
~,	~,
que	que
mi	mi
~…	~…
~,	~,
mi	mi
padre	padre
era	era
una	una
persona	persona
recta	recta
~,	~,
[HS:I1	[HS:I1
		Ya			Ya
		]			]
¿~	¿~
eh	eh
~?	~?
