estandar	dialectal	whisper
La	La	la
tripa	tripa	tripa,
~…	~…	lo
lo	lo	primero
primero	primero	es
es	es	con
con	con	agua
agua	agua	templada,
templada	templá	que
~,	~,	no
que	que	sea
no	no	caliente,
sea	sea	caliente,
caliente	caliente	sino
~,	~,	la
caliente	caliente	pica.
~,	~,	Agua
si	si	templada
no	no	y
la	la	primero
pica	pica	se
~.	~.	le
Agua	Agua	hecha
templada	templá	a
y	y	sa
primero	primero	y
se	se	vinagres,
le	le	y
echa	echa	la
sal	sa	muera
y	y	con
vinagre	vinagre	sa
y	y	y
las	las	vinagres,
mueve	mueve	¿sabes?
con	con	Y
sal	sa	una
y	y	vez
vinagre	vinagre	que
~,	~,	ya
¿~	¿~	ves
sabes	sabes	tú
~?	~?	que
Y	Y	ya
una	una	has
vez	vez	sortado
que	que	y
ya	ya	las
ves	ves	cambiado
tú	tú	otra
que	que	vez
ya	ya	el
ha	ha	agua
soltao	soltao	se
y	y	le
la	la	echaba
has	has	una
cambiao	cambiao	poquita
dos	dos	de
o	o	agua
tres	tres	cuando
veces	veces	ya
el	el	está
agua	agua	limpia,
~,	~,	limpia.
se	se	Agua
le	le	y
echaba	echaba	una
una	una	poquita
poquita	poquita	narina,
de	de	y
agua	agua	la
~,	~,	da
cuando	cuando	otro
ya	ya	menil
están	están	colorida
limpias	limpias	se
~,	~,	quedaba
limpias	limpias	ya
~.	~.	la
Agua	Agua	tripa
y	y	muy
una	una	blanca,
poquita	poquita	se
de	de	quedaba
harina	harina	así.
y	y	Yo
las	las	emal,
das	das	vamos
otro	otro	siempre
meneo	meneo	de
y	y	tu
con	con	mi
la	la	vida
harina	harina	y
se	se	si
quedaba	quedaba	ahora
ya	ya	pillará
la	la	la,
tripa	tripa	ahora
mu	mu	pillará
blanca	blanca	el
~.	~.	cochinolo
Se	Se	así
quedaba	quedaba	a
así	así	todavía,
~,	~,	lo
yo	yo	que
[OTRAS-EM]	[OTRAS-EM]	no
vamos	vamos	fue
siempre	siempre	ni
~,	~,	resaló
toda	to	mandaba,
mi	mi	no,
vida	vida	es
~,	~,	así,
y	y	no,
si	si	es
ahora	ara	así,
pillara	pillara	no.
la	la	La
~…	~…	borcilla
ahora	ara	se
pillara	pillara	cuece.
el	el	En
cochino	cochino	una
lo	lo	cardera
hacía	hacía	de
todavía	todavía	agua
~,	~,	y
lo	lo	viendo
que	que	la
no	no	va
pudiera	pudiera	echando,
hacerlo	hacelo	mi
~,	~,	marido
mandaba	mandaba	me
~:	~:	pelaba
«~	«~	con
~¡~	~¡~	el
No	No	porque
eso	eso	como
así	así	vieron
no	no	a
~,	~,	muchos
eso	eso	se
así	así	revientan
no	no	y
~!	~!	ahora
~»	~»	quiero
~.	~.	que
Las	Las	se
morcillas	morcillas	revindara
se	se	y
cuecen	cuecen	la
