estandar	dialectal	whisper
El	El	El
gazpacho	gazpacho	despacho
es	es	acultó
con	con	esta.
torta	torta	Se
~.	~.	encuece
Se	Se	a
cuece	cuece	lo
a	a	mejor
lo	lo	el
mejor	mejor	conejo.
el	el	Sí,
conejo	conejo	ahí
y	y	le
hay	hay	echan
quien	quien	muchas
le	le	cosas
echa	echa	a
muchas	muchas	lo
cosas	cosas	que
~,	~,	le
eso	eso	echan
ya	ya	a
se	se	lo
le	le	demás.
puede	puede	Pero
ir	ir	se
echando	echando	encuece
de	de	a
más	más	la
~.	~.	despacho
Pero	Pero	y
se	se	se
cuece	cuece	le
el	el	dejo
gazpacho	gazpacho	esa.
y	y	Y
se	se	entonces
deshuesa	deshuesa	ese
~,	~,	líquilo
se	se	que
deshuesa	deshuesa	ha
y	y	sortado
entonces	entonces	ya,
ese	ese	después
líquido	líquido	le
~,	~,	va
que	que	con
ha	ha	el
soltao	soltao	juzgón,
ya	ya	el
~,	~,	cando
pues	pues	que
después	después	sueltaba
de	de	al
lavao	lavao	cocelo,
el	el	ese
conejo	conejo	se
y	y	le
todo	to	echan
eso	eso	a
pos	pos	lo
lo	lo	cual
~|	~|	despacho.
el	el	Y
caldo	caldo	se
		le
que	que	echan
suelta	suelta	a
al	al	mi
cocerlo	cocerlo	lechán
~,	~,	perdí,
ese	ese	le
se	se	echan
le	le	de
echa	echa	muchas
luego	luego	cosas
al	al	a
gazpacho	gazpacho	la
y	y	despacho,
se	se	le
le	le	echan
echa	echa	de
~…	~…	muchas
Tamién	Tamién	cosas.
le	le	Y
echan	echan	lo
perdiz	perdiz	van
~,	~,	haciendo
le	le	que
echan	echan	eso
de	de	se
muchas	muchas	queda
cosas	cosas	o
al	al	es
gazpacho	gazpacho	casi
~,	~,	como
le	le	una
echan	echan	tortilla,
de	de	un
muchas	muchas	poquito
cosas	cosas	más
y	y	melosa.
lo	lo	Una
van	van	tortilla,
haciendo	haciendo	lo
~.	~.	van
Eso	Eso	haciendo
se	se	pero
queda	queda	tiene
pos	pos	que
casi	casi	ser
como	como	trorta.
una	una	No
tortilla	tortilla	van
~,	~,	tantas
un	un
poquito	poquito
más	más
melosa	melosa
que	que
una	una
tortilla	tortilla
~,	~,
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
la	la
van	van
haciendo	haciendo
pero	pero
tiene	tiene
que	que
ser	ser
torta	torta
~.	~.
No	No
pan	pan
~,	~,
pan	pan
~,	~,
pan	pan
no	no
~,	~,
torta	torta
~.	~.
