estandar	dialectal	whisper
Vivís	Vivís	de
ahora	ahora	vivir,
~…	~…	ahora,
[R-Vhc]	[R-Vhc]	así
Así	Así	que
que	que	aquí
cualquier	cualquier	cosa
cosa	cosa	de
de	de	consciencia,
conciencia	conciencia	los
~,	~,	otras
		hacerlas,
vosotras	vosotras	porque
hacerla	hacerla	de
~,	~,	todas
porque	porque	maneras,
de	de	en
todas	todas	lo
maneras	maneras	demás,
~,	~,	luego
lo	lo	te
demás	demás	sonan
~,	~,	son
luego	luego	remodimientos,
to	to	son
son	son	pesadillas,
a	a	o
lo	lo	son
mejor	mejor	porque
o	o	ha
son	son	hecho
remordimientos	remordimientos	esto,
o	o	porque
son	son	lo
pesadillas	pesadillas	único
~,	~,	que
o	o	queda
son	son	de
porque	porque	verdad
habré	habré	es
hecho	hecho	lo
esto	esto	que
~,	~,	ha
porque	porque	hecho,
lo	lo	que
único	único	ha
que	que	hecho
queda	queda	chico,
de	de	que
verdad	verdad	ha
~,	~,	hecho
de	de	bueno,
verdad	verdad	algo,
[HS:I1	[HS:I1	no
		Lo			Lo	te
que	que	importe
has	has	que
hecho	hecho	te
~.	~.	quedan,
		]			]	pues
es	es	esto
lo	lo	o
que	que	aquello
has	has	o
hecho	hecho	lo
positivo	positivo	otro,
~,	~,	nada,
lo	lo	tú
que	que	siempre
has	has	que
hecho	hecho	sea
bueno	bueno	todo
~.	~.	bueno,
No	No	porque
te	te	viene
importe	importe	a
que	que	7
~,	~,	cierra,
que	que	a
digan	digan	lo
~:	~:	mejor
«~	«~	a
Uy	Uy	una
~,	~,	persona
pues	pues	que
esto	esto	le
o	o	hace
aquello	aquello	un
o	o	bien,
lo	lo	a
otro	otro	lo
~»	~»	mejor
~.	~.	lo
Nada	Nada	vosotros,
~,	~,	una
tú	tú	ciudad,
siempre	siempre	una
que	que	pata,
sea	sea	pero
todo	todo	se
bueno	bueno	te
~,	~,	abren
porque	porque	por
mira	mira	otras
se	se
te	te
cierra	cierra
~|	~|
a	a
lo	lo
mejor	mejor
a	a
una	una
persona	persona
le	le
has	has
hecho	hecho
un	un
bien	bien
~,	~,
a	a
lo	lo
mejor	mejor
luego	luego
esa	esa
persona	persona
te	te
da	da
una	una
patada	patá
~,	~,
¿~	¿~
eh	eh
~?	~?
Pero	Pero
se	se
te	te
abren	abren
otras	otras
puertas	puertas
~.	~.
