estandar	dialectal	whisper
Pues	Pues	pues
hasta	hasta	hasta
que	que	que
se	se	se
cansaran	cansaran	cansaba.
~.	~.	No,
[A-Inn]	[A-Inn]	de
para	para	repente
que	que	más
se	se	para
no	no	que
interrumpiera	interrumpiera	me
~.	~.	torrumpiera.
Me	Me	Me
enseñó	enseñó	enseñaron
un	un	dos
doctor	doctor	tueres,
~,	~,	este
ese	ese	es
señ-	señ-	que
~,	~,	me
este	este	enseñó
que	que	estas
me	me	letras,
enseñó	enseñó	la
estas	estas	historia
letras	letras	del
~,	~,	almohado
la	la	y
historia	historia	ahora
del	del	me
alumbrado	alumbrado	enrejaste
~.	~.	empezar
Llevaban	Llevaban	viendo
rejas	rejas	y
de	de	que
tez	tez	llegó
ardiendo	ardiendo	a
~,	~,	tener
hechas	hechas	las
de	de	respinaciones
[A-Inn]	[A-Inn]	que
de	de	les
esos	esos	reunía
pinares	pinares	de
de	de	cuenta.
la	la	Y
Serranía_de_Cuenca	Serranía_de_Cuenca	entonces
~.	~.	pues
Y	Y	no
entonces	entonces	estaba
pues	pues	el
no	no	almohado
estaba	estaba	de
el	el	lo
alumbrado	alumbrado	que
eléctrico	eléctrico	hiciera
~,	~,	si
sino	sino	los
los	los	canciones
quinqués	quinqués	conmecha
~,	~,	y
y	y	el
los	los	aceite
candiles	candiles	de
con	con	los
mecha	mecha	aves
y	y	de
aceite	aceite	los
~.	~.	futales
De	De	son
los	los	los
árboles	árboles	libos
frutales	frutales	del
el	el	señor,
olivo	olivo	el
es	es	mejor,
el	el	porque
señor	señor	los
~,	~,	libos
el	el	haré,
mejor	mejor	los
~,	~,	pago
porque	porque	nuestros
del	del	señores,
olivo	olivo	pensaba
sale	sale	que
luz	luz	el
para	para	amparas
Nuestro_Señor	Nuestro_Señor	en
~.	~.	la
Me	Me	iglesia,
entraban	entraban	con
las	las	luz
lámparas	lámparas	y
en	en	no
las	las	se
iglesias	iglesias	había
con	con	utilizado
luz	luz	el
~.	~.	círculo
Y	Y	en
no	no	las
se	se	semanas
bautizaba	bautizaba	mantal,
el	el	si
cirio	cirio	había
en	en	la
la	la	consura
Semana_Santa_el_Sábado_Santo	Semana_Santa_el_Sábado_Santo	para
~,	~,	una
si	si	de
no	no	las
era	era	veas.
con	con	¿Por
cera	cera	qué?
~,	~,	Pues
cera	cera	yo
pura	pura	también
de	de	se
abeja	abeja	enlar
~.	~.	las
¿~	¿~	veas
Por	Por	de
qué	qué	la
~?	~?	ciudad,
Pues	Pues	una
yo	yo	de
también	también	las
sé	sé	veas.
hilar	hilar	Porque
las	las	en
velas	velas	la
cera	cera	pasión
pura	pura	de
de	de	aquisto,
abeja	abeja	cuando
~.	~.	haciéndole
Porque	Porque	en
en	en	mi
la	la	todo
Pasión_de_Cristo	Pasión_de_Cristo	eso,
~,	~,	es
que	que	historia
nació	nació	es
en	en	que
Belén	Belén	han
y	y	visto
todo	todo	y
eso	eso	hace
~,	~,	tantas
es	es	sí
historias	historias	los
que	que	que
han	han	te
pasao	pasao	me
y	y	han
hace	hace	dado
treinta	treinta	malditos
siglos	siglos	antes
que	que	de
quemaban	quemaban	la
a	a	historia
la	la	de
humanidad	humanidad	la
antes	antes	escena
de	de	de
la	la	Cristo.
historia	historia	Y
de	de	por
Jesucristo	Jesucristo	el
~.	~.	vídeo,
Y	Y	a
por	por	lo
envidias	envidias	que
lo	lo	se
cruci-	cruci-	han
~,	~,	sido
lo	lo	que
crucificaron	crucificaron	me
~,	~,	han
lo	lo	dado
mataron	mataron	unito
y	y	de
todo	todo	eso.
eso	eso	Pero
~.	~.	no
Pero	Pero	han
no	no	buscado
invocó	invulcó	mil
ni	ni	aluna
la	la	ni
luna	luna	el
~,	~,	sol,
ni	ni	ni
el	el	la
sol	sol	noche
~,	~,	ni
ni	ni	el
~,	~,	día,
ni	ni	ni
aquella	aquella	la
noche	noche	noche
ni	ni	ni
el	el	el
día	día	día,
y	y	ni
mira	mira	la
que	que	que
nacer	nacer	no
los	los	se
~,	~,	los
los	los	dios
días	días	con
compraos	compraos	prosos.
~.	~.	Es
[A-Crt]	[A-Crt]	un
El	El	muy
límite	límite	muy
va	va	bien,
la	la	vale
Serranía	Serranía	eso
~.	~.	de
Y	Y	mí.
de	de	Y
ahí	ahí	es
para	para	de
allá	allá	para
no	no	allá
se	se	no
crían	crían	se
olivos	olivos	crean
~.	~.	los
Y	Y	libos,
junto	junto	y
a	a	junto
esa	esa	a
serranía	serranía	esa
mira	mira	granía,
los	los	mira,
~,	~,	los
los	los
~,	~,
los	los
olivares	olivares
~.	~.
