estandar	dialectal	whisper
No	No	No,
~,	~,	no,
no	no	no,
~,	~,	padre
el	el	me
padre	padre	controló,
no	no	no,
controlaba	controlaba	no,
~,	~,	no,
no	no	no.
~,	~,	El
no	no	padre
~;	~;	quería
el	el	que
padre	padre	comiera
quería	quería	mocinada
que	que	más,
tuviéramos	tuviéramos	el
y	y	padre,
nada	nada	y
más	más	la
~,	~,	madre
el	el	tampoco.
padre	padre	Pero
~…	~…	entre
y	y	hermanos
la	la	se
madre	madre	sabía
tampoco	tampoco	que
~,	~,	fue
pero	pero	y
entre	entre	lo
hermanos	hermanos	faltaba
~…	~…	una
[RISA]	[RISA]	cosa.
se	se	No
sabía	sabía	lo
[A-Inn]	[A-Inn]	unifarra
que	que	que
faltaba	faltaba	alguien
una	una	había
~…	~…	tocado.
~,	~,	Esto
una	una	sí.
butifarra	butifarra	Bueno,
y	y	¿qué
alguien	alguien	más
la	la	puedes
había	había	explicar?
tocado	tocado	No
~.	~.
[RISA]	[RISA]
Eso	Eso
sí	sí
~.	~.
[R-Inf]	[R-Inf]
Bueno	Bueno
~…	~…
¿~	¿~
Qué	Qué
más	más
puedo	puedo
explicaros	explicaros
~?	~?
No	No
sé	sé
~.	~.
