estandar	dialectal	whisper
Pues	Pues	Pues
~…	~…	la
la	la	gente,
gente	gente	la
~…	~…	gente,
La	La	antes
gente	gente	pues
~.	~.	tu
Antes	Antes	salías
pues	pues	de
tú	tú	casa,
salías	salías	te
de	de	encontrabas
casa	casa	a
~,	~,	uno,
te	te	te
encontrabas	encontrabas	encontrabas
a	a	al
uno	uno	otro,
~,	~,	ahora
te	te	pues
encontrabas	encontrabas	sabes
al	al	de
otro	otro	casa
~;	~;	y
ahora	ahora	a
pues	pues	veces
~…	~…	no
sales	sales	puedes
de	de	decir
casa	casa	nada
y	y	porque
a	a	ni
veces	veces	lo
no	no	conoces,
puedes	puedes	es
decir	decir	que
nada	nada	ahora
porque	porque	aquí
ni	ni	viene
lo	lo	mucha
conoces	conoces	gente,
~.	~.	ahora
[HS:E1	[HS:E1	aquí
		Claro			Claro	en
~.	~.	San
		]			]	Soliúd,
Es	Es	que
que	que	somos
ahora	ahora	ya
aquí	aquí	casi
viene	viene	dos
mucha	mucha	mil
gente	gente	habitantes,
~,	~,	pues
ahora	ara	hay
aquí	aquí	mucha
en	en	gente
Sant_Feliu	Sant_Feliu	que
~,	~,	ha
que	que	venido
somos	somos	de
ya	ya	vivir
~…	~…	aquí,
casi	casi	va
dos_mil	dos_mil	a
habitantes	habitantes	ir
~…	~…	a
pues	pues	trabajar
hay	hay	a
mucha	mucha	un
gente	gente	trabajo
~…	~…	o
que	que	ir
ha	ha	a
venido	venido	trabajar
a	a	de
vivir	vivir	vi,
aquí	aquí	porque
para	pa	aquí
ir	ir	es
a	a	un
trabajar	trabajar	sitio
a	a	que
Olot	Olot	me
~…	~…	di
~,	~,	ahora
o	o	a
~,	~,	su
o	o	trabajo,
ir	ir	en
a	a	cambio
trabajar	trabajar	en
a	a	Barcelona
Vic	Vic	hasta
~,	~,	en
porque	porque	Barcelona
aquí	aquí	tenían
es	es	que
el	el	dar
sitio	sitio	vueltas
[A-Inn]	[A-Inn]	una
~,	~,	hora
en	en	para
media	media	llegar
hora	hora	a
son	son	su
a	a	destino
su	su	y
trabajo	trabajo	aquí
~.	~.	no,
Y	Y	aquí
~,	~,	pues
en	en	mira
cambio	cambio	mucha
~,	~,	gente,
en	en	allí
Barcelona	Barcelona	en
~,	~,	el
hasta	hasta	barrio
en	en	mío
Barcelona	Barcelona	te
tenían	tenían	arriba,
que	que	hay
~,	~,	a
que	que	menos
dar	dar	seis
vueltas	vueltas	casas
una	una	que
hora	hora	eran
pa	pa	casas
llegar	llegar	de
a	a	estas
su	su	protegidas,
~,	~,	seis
a	a	casas
su	su	que
destino	destino	ya
y	y	han
aquí	aquí	vivenido
no	no	gente
~.	~.	de
Aquí	Aquí	la
~,	~,	cornella
pues	pues	de
mira	mira	Yogregar,
~…	~…	de
~,	~,	Hospitalet,
mucha	mucha	mucha
gente	gente	gente
allí	allí	han
en	en	venido
el	el	aquí,
barrio	barrio	aquí
mío	mío	tienen
~,	~,	críos,
aquí	aquí	vienen
arriba	arriba	aquí,
~,	~,	tienen
hay	hay	el
al	al	alcoholégio,
menos	menos	mucho
seis	seis	más
casas	casas	barato,
que	que	y
eran	eran	ellos
casas	casas	trabajan
de	de	aquí,
estas	estas	ahora
protegidas	protegidas	mira,
~,	~,	hacen
seis	seis	su
casas	casas	vida
que	que	aquí,
ya	ya	y
han	han	bienvenidos,
venido	venido	sí
gente	gente	sí
de	de	sí
Cornellà_de_Llobregat	Cornellà_de_Llobregat	sí,
~,	~,	sí
de	de	sí,
~…	~…	sí
Hospitalet	Hospitalet	sí
~,	~,	sí,
mucha	mucha	sí
gente	gente	sí
han	han
venido	venido
aquí	aquí
a	a
vivir	vivir
~.	~.
Tienen	Tienen
críos	críos
~,	~,
vienen	vienen
aquí	aquí
~,	~,
vienen	vienen
a	a
un	un
colegio	colegio
~,	~,
mucho	mucho
más	más
barato	barato
~,	~,
no	no
cuesta	cuesta
mucho	mucho
~,	~,
y	y
ellos	ellos
trabajan	trabajan
aquí	aquí
~.	~.
Han	Han
encontrado	encontrado
trabajo	trabajo
aquí	aquí
~…	~…
~,	~,
pues	pues
mira	mira
~,	~,
hacen	hacen
su	su
vida	vida
aquí	aquí
~.	~.
[R-Cmp]	[R-Cmp]
